X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-8570260.59152836,4706733.27051626,121813,Ward 6,"429 13th Street Northeast, Washington, District of Columbia 20002","Kingsman (the), 429 13th Street NE",Under Construction,DHCD,2,38.89563221,-76.98805383,0,1,1,0,0,,24271,401044.59,136420.02,429 13TH STREET NE,2024/09/23 09:00:26+00
-8569289.21813001,4707825.17273067,121814,Ward 5,"1022 17th Street Northeast, Washington, District of Columbia 20002",1022 17th Street NE,Under Construction,DHCD,1,38.90326175,-76.97923251,0,1,0,0,0,,75394,401801.37,137267.55,1022 17TH STREET NE,2024/09/23 09:00:26+00
-8574590.70824185,4714518.78073214,121815,Ward 4,"4905 Georgia Avenue Northwest, Washington, District of Columbia 20011",4905 Georgia Ave. NW,Under Construction,DHCD,1,38.9500397,-77.02685659,0,0,0,1,0,,285023,397671.99,142460.44,4905 GEORGIA AVENUE NW,2024/09/23 09:00:26+00
-8570708.56924162,4707900.63954531,121816,Ward 5,"1020 Florida Avenue Northeast, Washington, District of Columbia 20002",1020 Florida Ave. NE,Completed 2015 to Date,DHCD,1,38.9037804,-76.99198852,0,0,1,0,0,,75348,400695.41,137325.94,1020 FLORIDA AVENUE NE,2024/09/23 09:00:26+00
-8572469.53992339,4708862.84691887,121817,Ward 5,"38 Porter Street Northeast, Washington, District of Columbia 20002",38 Porter St. NE,Pipeline,DHCD,1,38.91051517,-77.00780182,0,0,1,0,0,,308590,399323.34,138072.6,38 PORTER STREET NE,2024/09/23 09:00:26+00
-8570598.09031471,4711614.70047644,121818,Ward 5,"3200 12th Street Northeast, Washington, District of Columbia 20017",3200 12th St. NE,Under Construction,DHCD,2,38.92974847,-76.9909903,0,0,2,0,0,,39021,400781.21,140207.63,3200 12TH STREET NE,2024/09/23 09:00:26+00
-8580604.90724845,4710641.14100533,121819,Ward 3,"2504 41st Street Northwest, Washington, District of Columbia 20007",2504 41st St. NW,Under Construction,DHCD,1,38.92294477,-77.08088304,0,1,0,0,0,,264406,392986.15,139455.43,2504 41ST STREET NW,2024/09/23 09:00:26+00
-8570620.44755072,4711691.76442354,121820,Ward 5,"1031 Kearny Street Northeast, Washington, District of Columbia 20017",1031 Kearny St. NE,Under Construction,DHCD,4,38.93035285,-76.99119436,0,0,2,2,0,,75176,400763.79,140267.41,1031 KEARNY STREET NE,2024/09/23 09:00:26+00
-8570048.38873197,4707539.64970829,121821,Ward 5,"1358 Florida Avenue Northeast, Washington, District of Columbia 20002",1358 Florida Ave. NE,Under Construction,DHCD,3,38.9013248,-76.98609467,0,0,0,3,0,,149956,401209.86,137045.86,1358 FLORIDA AVENUE NE,2024/09/23 09:00:26+00
-8574392.74795439,4715368.21914388,121822,Ward 4,"826 Kennedy Street Northwest, Washington, District of Columbia 20011",826 Kennedy St. NW,Completed 2015 to Date,DHCD,1,38.95608977,-77.02508905,0,0,1,0,0,,254542,397826.32,143119.13,826 KENNEDY STREET NW,2024/09/23 09:00:26+00
-8567806.57571463,4703757.46604659,121823,Ward 7,"2908 N Street Southeast, Washington, District of Columbia 20019",2908 N St. SE,Under Construction,DHCD,2,38.87476434,-76.96590498,0,1,1,0,0,,320427,402957.82,134110.61,2908 N STREET SE,2024/09/23 09:00:26+00
-8562356.95805659,4706534.55468863,121824,Ward 7,"5821 Dix Street Northeast, Washington, District of Columbia 20019",5821 Dix St. NE,Under Construction,DHCD,5,38.89421836,-76.91696142,0,1,4,0,0,,331706,407203.88,136269,5821 DIX STREET NE,2024/09/23 09:00:26+00
-8574648.55249955,4714443.7307456,121825,Ward 4,"4840 Georgia Avenue Northwest, Washington, District of Columbia 20011",4840 Georgia Ave. NW,Under Construction,DHCD,3,38.94951539,-77.02737621,0,1,2,0,0,,277447,397626.93,142402.25,4840 GEORGIA AVENUE NW,2024/09/23 09:00:26+00
-8571558.43512138,4708369.43754674,121826,Ward 5,"400 Florida Avenue Northeast, Washington, District of Columbia 20002",400 Florida Ave. NE,Completed 2015 to Date,DHCD OP,15,38.90710496,-76.99966542,0,7,0,8,0,16-10,28323,400033.2,137689.7,400 FLORIDA AVENUE NE,2024/09/23 09:00:26+00
-8575159.51702288,4711108.89302577,121827,Ward 1,"2801 14th Street Northwest, Washington, District of Columbia 20009",Carl F. West Estates,Under Construction,DCHFA DHCD,179,38.92621339,-77.03196628,43,119,0,17,0,,231582,397228.14,139815.69,2801 14TH STREET NW,2024/09/23 09:00:26+00
-8568398.69932257,4699975.781873,121828,Ward 8,"3301 23rd Street Southeast, Washington, District of Columbia 20020",Terrace Manor Apartments 2019 RFP,Completed 2015 to Date,DCHFA DHCD OP,130,38.84844497,-76.97157104,14,42,74,0,0,19-19,319271,402497.18,131174.05,3301 23RD STREET SE,2024/09/23 09:00:26+00
-8569520.68961886,4702210.53029082,121829,Ward 8,"1635 V Street Southeast, Washington, District of Columbia 20020",Villages of East River Apartments,Under Construction,DCHFA DHCD,202,38.86400032,-76.98131186,41,80,81,0,0,,58744,401621.9,132909.19,1635 V STREET SE,2024/09/23 09:00:26+00
-8571724.52290591,4696574.50189803,121830,Ward 8,"4518 3rd Street Southeast, Washington, District of Columbia 20032",Worthington Woods Apartments,Under Construction,DCHFA DHCD,394,38.82456753,-77.00110922,40,83,271,0,0,,276649,399903.68,128531.71,4518 3RD STREET SE,2024/09/23 09:00:26+00
-8574675.1485835,4718366.10579368,121831,Ward 4,"7175 12th Street Northwest, Washington, District of Columbia 20012",WRAMC - The Kite House (Building O),Completed 2015 to Date,DMPED,9,38.97689497,-77.02790583,0,0,0,9,0,,334719,397607.14,145443.6,7175 12TH STREET NW,2024/09/23 09:00:26+00
-8574669.12348202,4718238.39236974,121832,Ward 4,"1155 Dahlia Street Northwest, Washington, District of Columbia 20012",WRAMC - 1155 Dahlia Street (Building P),Completed 2015 to Date,DMPED DHCD,38,38.97602035,-77.027561,0,0,0,38,0,,335855,397611.8,145344.59,1155 DAHLIA STREET NW,2024/09/23 09:00:26+00
-8569753.59001606,4700472.47335199,121833,Ward 8,"3100 Bruce Place Southeast, Washington, District of Columbia 20020",Hyacinth's Way - Bruce Place SE at Jasper Place SE PUD,Pipeline,OP,71,38.85184224,-76.98340403,36,0,35,0,0,21-07,287511,401440.57,131559.52,3100 BRUCE PLACE SE,2024/09/23 09:00:26+00
-8576096.08067099,4710360.65746786,121834,Ward 1,"2400 Ontario Road Northwest, Washington, District of Columbia 20009",Jubilee Ontario Place - Ontario KEB,Under Construction,DCHFA DHCD,52,38.92111404,-77.04043327,29,23,0,0,0,,333067,396498.35,139235.49,2400 ONTARIO ROAD NW,2024/09/23 09:00:26+00
-8568620.90374197,4703514.30334208,121835,Ward 8,"2305 Nicholson Street Southeast, Washington, District of Columbia 20020",2305 Nicholson St. SE,Completed 2015 to Date,DHCD,2,38.87314229,-76.9732854,0,0,2,0,0,,48826,402323.1,133921.62,2305 NICHOLSON STREET SE,2024/09/23 09:00:26+00
-8573881.94906726,4709630.84772752,121836,Ward 1,"611 Florida Avenue Northwest, Washington, District of Columbia 20001",611 Florida Ave. NW,Completed 2015 to Date,DHCD,1,38.91588366,-77.0204897,0,0,1,0,0,,229860,398223.04,138668.68,611 FLORIDA AVENUE NW,2024/09/23 09:00:26+00
-8582288.24055516,4709864.87870043,121837,Ward 3,"4865 Macarthur Boulevard Northwest, Washington, District of Columbia 20007",Balfour at Palisades,Under Construction,DHCD,10,38.91743283,-77.0959333,0,2,8,0,0,,285004,391674.23,138854.44,4865 MACARTHUR BOULEVARD NW,2024/09/23 09:00:26+00
-8575277.92875572,4713019.92470009,121838,Ward 4,"3934 14th Street Northwest, Washington, District of Columbia 20011",14th Street Condos,Completed 2015 to Date,DHCD,1,38.93956736,-77.03302999,0,0,1,0,0,,284808,397136.44,141298.13,3934 14TH STREET NW,2024/09/23 09:00:26+00
-8571275.42767083,4708649.09219733,121839,Ward 5,"1325 5th Street Northeast, Washington, District of Columbia 20002",Union Market PUD North Building,Completed 2015 to Date,DHCD OP,24,38.909021,-76.99707493,0,7,17,0,0,14-12E,286052,400253.7,137906.71,1325 5TH STREET NE,2024/09/23 09:00:26+00
