X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,ADDRESS,MetroLine
-8585972.9042,4692962.5358,60,mstn_60,Van Dorn Street,http://www.wmata.com/rail/station_detail.cfm?station_id=94,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA","blue, yellow"
-8590298.6278,4688280.5888,61,mstn_61,Franconia-Springfield,http://www.wmata.com/rail/station_detail.cfm?station_id=95,"6880 FRONTIER DRIVE, SPRINGFIELD, VA","blue, yellow"
-8573366.7237,4705220.2916,62,mstn_62,Federal Center SW,http://www.wmata.com/rail/station_detail.cfm?station_id=58,"401 3RD STREET SW, WASHINGTON, DC","blue, orange, silver"
-8573452.5218,4706796.0851,63,mstn_63,Judiciary Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=23,"450 F STREET NW, WASHINGTON, DC",red
-8572172.4002,4705218.8822,64,mstn_64,Capitol South,http://www.wmata.com/rail/station_detail.cfm?station_id=59,"355 1ST STREET SE, WASHINGTON, DC","blue, orange, silver"
-8574725.909,4707114.2146,65,mstn_65,Metro Center,http://www.wmata.com/rail/station_detail.cfm?station_id=1,"607 13TH STREET NW, WASHINGTON, DC","red, blue, orange, silver"
-8574039.8912,4707114.5486,66,mstn_66,Gallery Pl-Chinatown,http://www.wmata.com/rail/station_detail.cfm?station_id=21,"630 H STREET NW, WASHINGTON, DC","red, green, yellow"
-8574039.7787,4708276.0681,67,mstn_67,Mt Vernon Sq - 7th St Convention Center,http://www.wmata.com/rail/station_detail.cfm?station_id=70,"700 M STREET NW, WASHINGTON, DC","green, yellow"
-8574661.1094,4709787.6123,68,mstn_68,U St/African-Amer Civil War Memorial/Cardozo,http://www.wmata.com/rail/station_detail.cfm?station_id=73,"1300 U STREET NW, WASHINGTON, DC","green, yellow"
-8572425.6374,4707035.7688,69,mstn_69,Union Station,http://www.wmata.com/rail/station_detail.cfm?station_id=25,"701 1ST STREET NE, WASHINGTON, DC",red
-8570321.4385,4699585.1908,70,mstn_70,Congress Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=86,"1290 ALABAMA AVENUE SE, WASHINGTON, DC",green
-8566731.4734,4700391.8743,71,mstn_71,Naylor Road,http://www.wmata.com/rail/station_detail.cfm?station_id=87,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green
-8564016.1091,4699343.1913,72,mstn_72,Suitland,http://www.wmata.com/rail/station_detail.cfm?station_id=88,"4500 SILVER HILL ROAD, SUITLAND, MD",green
-8561744.5317,4696839.6805,73,mstn_73,Branch Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=89,"4704 OLD SOPER ROAD, SUITLAND, MD",green
-8577574.5272,4695081.8856,74,mstn_74,Braddock Road,http://www.wmata.com/rail/station_detail.cfm?station_id=47,"700 N. WEST ST., ALEXANDRIA, VA","blue, yellow"
-8578369.7525,4694002.22,75,mstn_75,King St - Old Town,http://www.wmata.com/rail/station_detail.cfm?station_id=48,"1900 KING STREET, ALEXANDRIA, VA","blue, yellow"
-8579489.98,4693122.1966,76,mstn_76,Eisenhower Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=49,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow
-8579972.149,4692192.4129,77,mstn_77,Huntington,http://www.wmata.com/rail/station_detail.cfm?station_id=50,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow
-8571084.9565,4702058.9559,78,mstn_78,Anacostia,http://www.wmata.com/rail/station_detail.cfm?station_id=85,"1101 HOWARD ROAD SE, WASHINGTON, DC",green
-8571155.1307,4705155.9239,79,mstn_79,Eastern Market,http://www.wmata.com/rail/station_detail.cfm?station_id=60,"701 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue, orange, silver"
-8569985.6304,4704675.5715,80,mstn_80,Potomac Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=61,"700 14TH STREET SE, WASHINGTON, DC","blue, orange, silver"
-8569049.8327,4705454.3621,81,mstn_81,Stadium Armory,http://www.wmata.com/rail/station_detail.cfm?station_id=63,"192 19TH STREET SE, WASHINGTON, DC","blue, orange, silver"
-8571147.9823,4710368.1199,82,mstn_82,Rhode Island Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=26,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red
-8565672.2712,4707239.6213,83,mstn_83,Minnesota Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=64,"400 MINNESOTA AVENUE NE, WASHINGTON, DC",orange
-8578611.8673,4713545.8358,84,mstn_84,Van Ness-UDC,http://www.wmata.com/rail/station_detail.cfm?station_id=9,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC",red
-8578061.5418,4712328.9891,85,mstn_85,Cleveland Park,http://www.wmata.com/rail/station_detail.cfm?station_id=8,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC",red
-8575223.9651,4711338.0151,86,mstn_86,Columbia Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=75,"3030 14TH STREET NW, WASHINGTON, DC","green, yellow"
-8598490.3782,4711497.4092,87,mstn_93,Spring Hill,http://www.wmata.com/rail/station_detail.cfm?station_id=114,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver
-8597635.4282,4710353.1996,88,mstn_94,Greensboro,http://www.wmata.com/rail/station_detail.cfm?station_id=113,"8305 LEESBURG PIKE VIENNA, VA 22182",silver
-8596281.544,4710312.9761,89,mstn_95,Tysons Corner,http://www.wmata.com/rail/station_detail.cfm?station_id=112,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver
-8594986.1488,4710863.4945,90,mstn_96,McLean,http://www.wmata.com/rail/station_detail.cfm?station_id=111,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver
-8609455.5449,4714185.2901,91,mstn_97,Wiehle-Reston East,http://www.wmata.com/rail/station_detail.cfm?station_id=115,"1862 WIEHLE AVENUE RESTON, VA 20190",silver
