GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct
24031007004,123173.0,183672.0,1328.0,1530.0,600200.0,811800.0,49.1170954673508,15.210843373493976,35.25491502832389,85.62874251497006,14.37125748502994,85.88807785888078,14.111922141119221,0.25933534391072044,-0.25933534391071866
24031007005,104648.0,197727.0,1637.0,1934.0,455100.0,700200.0,88.94484366638636,18.142944410507024,53.85629531970996,92.6042486231314,7.395751376868607,90.94357515410148,9.05642484589853,-1.6606734690299163,1.6606734690299225
24031007018,63355.0,100114.0,1058.0,1449.0,569600.0,857800.0,58.020677136769,36.95652173913043,50.59691011235955,48.06939003917179,51.9306099608282,52.85412262156448,47.14587737843552,4.784732582392685,-4.784732582392678
24031007019,55833.0,57283.0,1208.0,1447.0,388700.0,597900.0,2.5970304300324183,19.78476821192053,53.82042706457422,16.61608497723824,83.38391502276176,29.513343799058084,70.48665620094191,12.897258821819843,-12.897258821819847
24031007020,47904.0,67902.0,1208.0,1629.0,255400.0,386100.0,41.74599198396793,34.85099337748344,51.17462803445576,44.157369348209045,55.842630651790955,39.19563735514656,60.80436264485344,-4.961731993062486,4.961731993062486
24031007022,130893.0,198906.0,1290.0,2013.0,437300.0,599500.0,51.96076184364328,56.04651162790698,37.09124171049623,90.73139974779319,9.26860025220681,84.13333333333334,15.866666666666667,-6.598066414459851,6.598066414459858
24031007025,64977.0,,1533.0,,249200.0,,,,,,,,,,
24031007027,94167.0,131076.0,1373.0,1892.0,608000.0,857700.0,39.195259485807135,37.80043699927167,41.06907894736842,50.50423557886244,49.49576442113756,58.12244897959184,41.87755102040816,7.618213400729395,-7.618213400729395
24031007028,96181.0,148911.0,1733.0,2003.0,539200.0,707500.0,54.823717782098335,15.579919215233698,31.212908011869438,49.1588785046729,50.8411214953271,53.88371060807812,46.11628939192188,4.72483210340522,-4.72483210340522
24031007029,110956.0,154312.0,1376.0,1562.0,634700.0,859000.0,39.074948628285085,13.517441860465116,35.339530486844176,70.74372759856631,29.25627240143369,67.69425675675676,32.30574324324324,-3.0494708418095513,3.0494708418095513
24031007030,109722.0,168750.0,1900.0,2421.0,415500.0,600900.0,53.79777984360474,27.421052631578945,44.62093862815885,85.77524893314367,14.224751066856332,92.96636085626912,7.033639143730887,7.1911119231254474,-7.191111923125445
24031007031,105089.0,172105.0,1924.0,2149.0,382500.0,553000.0,63.77070863744064,11.694386694386695,44.575163398692816,84.74148802017655,15.258511979823455,82.99805321219988,17.00194678780013,-1.7434348079766693,1.7434348079766746
24031007038,66174.0,79806.0,1492.0,2023.0,404100.0,608400.0,20.600235742134373,35.58981233243968,50.55679287305123,18.118948824343015,81.88105117565698,34.987384356602185,65.01261564339781,16.86843553225917,-16.86843553225917
24031007040,75912.0,140781.0,1221.0,1549.0,371200.0,559900.0,85.45289282326904,26.863226863226863,50.835129310344826,63.69529983792545,36.30470016207455,58.808193668528865,41.191806331471135,-4.887106169396581,4.887106169396581
24031007041,161200.0,210329.0,2000.0,3500.0,757000.0,1052800.0,30.477047146401983,75.0,39.07529722589168,86.31578947368422,13.684210526315791,91.40914709517924,8.590852904820766,5.0933576214950165,-5.093357621495025
24031007042,106000.0,149698.0,1379.0,2105.0,643200.0,919400.0,41.22452830188679,52.64684554024656,42.941542288557216,52.41545893719807,47.58454106280193,60.83333333333333,39.166666666666664,8.417874396135261,-8.417874396135268
24031007043,137500.0,206985.0,2000.0,2801.0,636900.0,901700.0,50.53454545454545,40.05,41.5763856178364,88.3076923076923,11.692307692307692,88.19241982507289,11.807580174927114,-0.11527248261941736,0.11527248261942269
24031007046,148669.0,204559.0,2000.0,2404.0,718400.0,1116100.0,37.59358036981482,20.200000000000003,55.35913140311804,81.03632478632478,18.963675213675213,70.85656360871769,29.14343639128231,-10.17976117760709,10.179761177607098
