FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1086,Prince George's,Riverdale Elementary School,5006 Riverdale Road,Riverdale,20737,Public Elementary,PreK-5,Public,1eb83894-c704-413d-a6c2-e3468ab4cf7a,1332633.21729533,471478.660641178
1087,Harford,Riverside Elementary School,211 Stillmeadow Drive,Joppa,21085,Public Elementary,PreK-5,Public,c990f291-147f-473c-9ead-e822659d1592,1499292.23338608,632397.161966249
1088,Baltimore,Riverview Elementary School,3298 Kessler Road,Baltimore,21227,Public Elementary,PreK-5,Public,76f90954-cf71-4eef-8c06-9e90aafdddbb,1409760.20477334,571951.40621759
1089,Anne Arundel,Riviera Beach Elementary School,8515 Jenkins Road,Pasadena,21122,Public Elementary,K-5,Public,652a095d-8c67-4d7b-a2a2-aa2d91685f26,1450777.54006134,544048.674621582
1090,Charles,Robert D. Stethem Educational Center,7775 Marshall Corner Road,Pomfret,20675,Public Alternate,9-12,Public,2387d4e5-42e2-4fd5-bd42-cc579349708b,1303978.42453942,329074.407392502
1091,Prince George's,Robert Frost Elementary School,6419 85th Avenue,New Carrollton,20784,Public Elementary,K-5,Public,907e3df1-c9e6-4b49-bba6-ae60edb98455,1347752.71231876,476907.735741004
1092,Prince George's,Robert Goddard Montessori School,9850 Good Luck Road,Seabrook,20706,Public PreK-8,PreK-8,Public,d0c6d786-3ceb-4533-b716-34dd2e6da943,1357378.13630934,481251.839913666
1093,Carroll,Robert Moton Elementary School,1413 Washington Road,Westminster,21157,Public Special Education,PreK-5,Public,4e464411-f806-48f4-a656-96ceeb122dbb,1314226.11697051,680526.214001924
1094,Baltimore City,Robert Poole Building #056,1300 West 36th Street,Baltimore,21211,Public Middle/High,6-12,Public,66943838-307b-4a1c-895d-12df9deadb36,1414784.25673309,606180.663874418
1095,Prince George's,Robert R. Gray Elementary School,4949 Addison Road,Capitol Heights,20743,Public Elementary,PreK-6,Public,0c6091cf-9050-406d-867c-df9afcd55b9c,1334433.30162168,452453.294164419
1096,Baltimore City,Robert W. Coleman Elementary School # 142,2400 Windsor Avenue,Baltimore,21217,Public Elementary,PreK-5,Public,3e771595-4271-4690-b18b-def3153691c1,1409876.08872792,599733.12755692
1097,Frederick,Rock Creek Center Special-Education,191 Waverley Drive,Frederick,21702,Public Special Education,PreK-12,Public,c5f5aae6-a474-4623-9b93-5bafc555419b,1182030.27867243,641280.785931259
1098,Montgomery,Rock Creek Forest Elementary School,8330 Grubb Road,Chevy Chase,20815,Public Elementary,K-5,Public,004194fd-dcf9-4950-95a1-b4ec796e1283,1297574.28117976,482659.428633928
1099,Montgomery,Rock Creek Valley Elementary School,5121 Russett Road,Rockville,20853,Public Elementary,K-5,Public,86642c80-6df1-40e4-bee8-c7bc9ba8b511,1283220.94997834,515883.081346586
1100,Kent,Rock Hall Elementary School,21203 Sharp Street,Rock Hall,21661,Public Elementary,PreK-5,Public,80a0955d-73bf-4033-bea7-572db133bf53,1528576.01274492,535697.086994082
1101,Montgomery,Rock Terrace Special Education School,390 Martins Lane,Rockville,20850,Public Special Education,N/A,Public,f41debf4-6c8a-4c7c-bfcf-d615a4ca12c7,1266930.18761243,519721.924718753
1102,Montgomery,Rock View Elementary School,3901 Denfield Avenue,Kensington,20895,Public Elementary,PreK-5,Public,fc346f81-f0de-463f-8aae-0d2e02144dd8,1290423.772843,499949.561704502
1103,Howard,Rockburn Elementary School,6145 Montgomery Road,Elkridge,21075,Public Elementary,PreK-5,Public,bb8b36da-994e-4c54-8bbb-229860bccc35,1377888.08610301,563966.702370763
1104,Washington,Rockland Woods Elementary School,18201 Rockland Drive,Hagerstown,21740,Public Elementary,K-5,Public,54e347c1-7d51-4fe2-b16e-56c8eefcc74d,1104595.14614142,695799.925252333
1105,Prince George's,Rockledge Elementary School,7701 Laurel-Bowie Road,Bowie,20715,Public Elementary,PreK-5,Public,f8bf70da-3019-4436-bbdd-e583c276e39c,1381167.10447934,484505.220546007
1106,Montgomery,Rockville High School,2100 Baltimore Road,Rockville,20853,Public High,9-12,Public,adb0b2f5-3d95-43b0-b422-f82e587e0421,1278661.37707651,517711.152821675
1107,Montgomery,Rockwell (Lois P.) Elementary School,24555 Cutsail Drive,Damascus,20872,Public Elementary,K-5,Public,4a7b4305-8e48-424a-9b59-acd248abd44b,1251707.02284884,579029.435368583
1108,Montgomery,Rocky Hill Middle School,22401 Brick Haven Way,Clarksburg,20871,Public Middle,6-8,Public,502bc64a-6819-41f2-a60d-f9dafd65b562,1237728.93761609,566692.445935011
1109,Baltimore,Rodgers Forge Elementary School,250 Dumbarton Road,Baltimore,21212,Public Elementary,K-5,Public,834bf89a-1542-46b5-bd24-4be03e65630e,1421196.11890934,624624.236239165
1110,Prince George's,Rogers Heights Elementary School,4301 58th Avenue,Bladensburg,20710,Public Elementary,PreK-6,Public,b02e89cb-496f-4467-96c7-ab40f4b11396,1337173.01169342,465716.439226002
1111,Baltimore City,Rognell Heights Elementary/Middle School # 089,4300 Sidehill Road,Baltimore,21229,Public PreK-8,PreK-8,Public,cea8fa52-f571-49c2-bef1-f1cb68472a4b,1399302.46912718,594240.412820593
