FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1,Baltimore City,Wolfe Street Academy #023,245 South Wolfe Street,Baltimore,21231,Charter,Grades: PK - 5,Charter,78720bda-ed5a-42a1-aa4c-91e9a87801ba,1428424.05950592,590736.024160087
2,Baltimore City,Monarch Academy Public Charter School #381,2525 Kirk Avenue,Baltimore,21218,Charter,Grades: K - 8,Charter,494af5a1-5edd-4e99-ba26-6ca2558c94c4,1425440.648478,601957.109001338
3,Baltimore City,Furman Templeton Preparatory Academy #125,1200 North Pennsylvania Avenue,Baltimore,21217,Charter,Grades: PK - 5,Charter,238ce3b7-346b-41a8-a0e0-cfc00df90e77,1416929.00539634,594953.418940499
4,Baltimore City,Hampstead Hill Academy #047,500 South Linwood Avenue,Baltimore,21224,Charter,Grades: PK - 8,Charter,e99610c6-bfa2-42da-818c-bcf2fd73348f,1432264.9005775,589972.187761262
5,Baltimore City,Rosemont Elementary/Middle School #063,2777 Presstman Street,Baltimore,21216,Charter,Grades: PK - 8,Charter,8e90f1ed-64d3-4e88-abc1-663d0248f431,1407660.21586309,596654.971967846
6,Baltimore City,City Springs Elementary/Middle School #008,100 South Caroline Street,Baltimore,21231,Charter,Grades: PK - 8,Charter,65810092-4b33-4e13-8fe9-54dfcd694831,1426315.57028459,591494.491803259
7,Anne Arundel,Monarch Academy,6730 Baymeadow Drive,Glen Burnie,21061,Charter,Grades: K - 8,Charter,5df2482c-add5-42a0-8638-39ffcdbbabeb,1426786.10969783,554158.792524666
8,Anne Arundel,Chesapeake Science Point Public Charter School,7321 Parkway South Drive,Hanover,21076,Charter,Grades: 6 - 12,Charter,5ab7fead-6066-4de2-8c3d-f0d3fe38ac7a,1387548.41127051,546872.005917177
9,Prince George's,Imagine Foundations at Morningside Public Charter School,6900 Ames Street,Morningside,20746,Charter,Grades: K - 5,Charter,8ea0e550-1aa2-461b-be25-64eea064344d,1344783.636564,423406.244647086
10,Frederick,Monocacy Valley Montessori School,217 Dill Avenue,Frederick,21701,Charter,Grades: PK - 8,Charter,6c124a63-9586-4e16-b7de-45b4919d6e62,1195365.10797384,638684.857068002
11,Baltimore City,Southwest Baltimore Charter School #328,1300 Herkimer Street,Baltimore,21223,Charter,Grades: K - 8,Charter,4059ba61-81e7-4ece-b848-89ab30b41bd5,1414669.65591243,588389.450769261
12,Baltimore City,Green Street Academy #377,201 North Bend Road,Baltimore,21229,Charter,Grades: 6 - 12,Charter,e3013dac-bc57-4004-9614-e7dac9228848,1395083.13504617,589197.606305167
13,Baltimore City,ConneXions: A Community Based Arts School #325,2801 North Dukeland Street,Baltimore,21216,Charter,Grades: 6 - 12,Charter,af381b3b-97c0-4c5d-be7d-d34ff5313497,1407307.39110942,601541.989096671
14,Baltimore City,City Neighbors Hamilton School #346,5609 Sefton Avenue,Baltimore,21214,Charter,Grades: K - 8,Charter,1bc412ef-e8f6-4f2d-a7ba-ed93112cfa85,1407899.54412459,594090.386545837
15,Baltimore City,K.I.P.P. Harmony Academy #347,4701 Greenspring Avenue,Baltimore,21209,Charter,Grades: K - 8,Charter,d7dfae5b-d5eb-4eb1-9b60-40f37efcef76,1409045.95259292,611637.97579442
16,Baltimore City,City Neighbors High School #376,5609 Sefton Avenue,Baltimore,21214,Charter,Grades: 9 - 12,Charter,e547ef19-5b6e-4eb4-a687-c59474911d83,1407899.54412459,594090.386545837
17,Baltimore City,Inner Harbor East Academy #329,200 North Central Avenue,Baltimore,21202,Charter,Grades: PK - 8,Charter,7038a5ef-f104-4551-89ae-6303380c2cc1,1425508.85962768,592897.43978475
18,Baltimore City,Tunbridge Public Charter School #373,5504 York Road,Baltimore,21212,Charter,Grades: PK - 8,Charter,8c18ae2c-e4a9-426a-99e6-93d98c51040b,1422464.40508667,616053.017161176
19,Baltimore City,Northwood Appold Community Academy #330,4417 Loch Raven Boulevard,Baltimore,21218,Charter,Grades: K - 5,Charter,0ef7df91-fce4-4ad7-b393-14ac0920f4a8,1427769.52439767,611712.301761255
20,Baltimore City,Afya Public Charter School #337,2800 Brendan Avenue,Baltimore,21213,Charter,Grades: 6 - 8,Charter,bdf793e4-d44f-4245-bab5-1a800695afd7,1433312.58811468,603991.044566005
21,Baltimore City,Baltimore International Academy #335,4410 Frankford Avenue,Baltimore,21206,Charter,Grades: K - 8,Charter,0e2b494d-4215-42e2-8bc0-3ac64e64dded,1439962.387151,608305.438168168
22,Baltimore City,Baltimore Leadership School for Young Women #348,128 West Franklin Street,Baltimore,21201,Charter,Grades: 6 - 12,Charter,7feb31aa-b21e-4789-9621-fdbfffe42422,1420436.02430092,593312.393351167
23,Baltimore City,Baltimore Montessori Public Charter School #336,1600 Guilford Avenue,Baltimore,21202,Charter,Grades: PK - 5,Charter,6cbd777b-546e-465e-9062-76e7431bedac,1421980.71215643,598118.819105759
24,Baltimore City,Baltimore Montessori Public Charter Middle School #383,1600 Guilford Avenue,Baltimore,21202,Charter,Grades: 6 - 8,Charter,1b1ac42b-bb8e-45c7-9741-c1f1208b3773,1421980.71215643,598118.819105759
25,Baltimore City,City Neighbors Charter School #326,4301 Raspe Avenue,Baltimore,21206,Charter,Grades: K - 8,Charter,4cecb9d1-081d-4d30-8aea-830044591c50,1443992.08480026,612993.810681179
26,Baltimore City,Coppin Academy High School,2500 West North Avenue,Baltimore,21216,Charter,Grades: 9 - 12,Charter,36c50c28-a4bc-4e0a-9f01-e40f1976691a,1408733.45682684,598112.243987679
27,Baltimore City,The Crossroads School #323,802 South Caroline Street,Baltimore,21231,Charter,Grades: 6 - 8,Charter,c11530f6-bcda-4bbe-960d-81ca2e35598f,1426463.51618293,588504.817664504
28,Baltimore City,Empowerment Academy #262,851 Braddish Avenue,Baltimore,21216,Charter,Grades: PK - 8,Charter,ca7932e0-8d99-4e32-ab69-d5464dd8f37c,1408783.86059742,594161.194147006
29,Baltimore City,The Green School #332,2851 Kentucky Avenue,Baltimore,21213,Charter,Grades: K - 5,Charter,a45b0ca0-eae6-48b8-ab06-c832466399c9,1433295.43526185,603968.745726094
30,Baltimore City,Independence School Local I #333,1250 West 36th Street,Baltimore,21211,Charter,Grades: 9 - 12,Charter,cf9deffa-1a8c-4aaf-93d1-f284cfbaa78f,1415166.77499692,606325.139307261
31,Baltimore City,Maryland Academy of Technology and Health Sciences #331,2801 North Dukeland Street,Baltimore,21216,Charter,Grades: 6 - 12,Charter,876fc1be-76f0-44ac-9ea3-09e9386a04b0,1407307.39110942,601541.989096671
32,Baltimore City,Midtown Academy #321,1398 Mount Royal Avenue,Baltimore,21217,Charter,Grades: K - 8,Charter,90db3955-a7c5-4aac-9cb6-7ba15b9d744d,1419108.88883184,598120.994298249
33,Baltimore City,Patterson Park Public Charter School #327,27 North Lakewood Avenue,Baltimore,21224,Charter,Grades: PK - 8,Charter,c8c37323-2f5b-406b-85dd-9a2cb4224bea,1431532.64843309,592506.706642345
34,Baltimore City,Roots and Branches School #379,1807 Harlem Avenue,Baltimore,21217,Charter,Grades: K - 5,Charter,8cc56722-776e-4e2a-b8a0-f0c3cb29740b,1412315.85156493,593561.976185337
35,Anne Arundel,Monarch Global Academy Public Charter School,430 Brock Bridge Road,Laurel,20724,Charter,Grades: K - 8,Charter,730c22cb-aa83-4dca-82b8-8104845396f7,1362223.53836392,516898.065209001
36,Frederick,Carroll Creek Montessori Public Charter School,7215 Corporate Court,Frederick,21703,Charter,Grades: PK - 3,Charter,b971d249-bfce-4e16-991a-21a775474aa5,1195103.80042559,623588.221578926
37,Frederick,Frederick Classical Charter School,"8445 Spires Way, Suite CC",Frederick,21701,Charter,Grades: K - 6,Charter,42f4bf45-9803-4718-871e-b5afe950c866,1207126.22224684,644798.35993284
38,Prince George's,EXCEL Academy Public Charter School,7910 Scott Road,Landover,20785,Charter,Grades: K - 8,Charter,4b0f1cbd-4b53-470e-bebf-7a794d114a88,1349579.78084309,457025.646568254
39,Prince George's,Chesapeake Math & IT Public Charter - North,6100 Frost Place,Laurel,20707,Charter,Grades: 6 - 10,Charter,9b678340-5dbc-4549-bb61-3e1ba05b6ad6,1339925.47502051,518388.960849255
40,Prince George's,Chesapeake Math & IT Public Charter - South,6201 Surrey Square Lane,Forestville,20747,Charter,Grades: 6 - 7,Charter,29a5dcd5-b97e-4314-b6f3-3b5f1ba58506,1340682.16281159,429275.500625089
41,Prince George's,College Park Academy,7501 Adelphi Road,Hyattsville,20783,Charter,Grades: 6 - 7,Charter,280d0bbd-c8cf-45e0-ad59-83c8549c7f5f,1325391.15074275,479365.334828421
42,Prince George's,Imagine Andrews Public Charter School,4701 San Antonio Boulevard,Andrews Air Force Base,20762,Charter,Grades: K - 6,Charter,53d1c78c-8594-4cfb-a57c-0378ad809e79,1344224.77055576,411979.209758416
43,Prince George's,Imagine - Foundations at Leeland Public Charter School,14111 Oak Grove Road,Upper Marlboro,20774,Charter,Grades: K - 8,Charter,0f08d858-06fc-407e-97ed-b64690b8e185,1380488.06909201,439765.644999087
44,Prince George's,Imagine Lincoln Public Charter School,4207 Norcross Street,Temple Hills,20748,Charter,Grades: K - 8,Charter,87fd85f9-0adb-4994-b691-7f518ecb399c,1326490.39821617,423684.679457679
45,Prince George's,Turning Point Academy Public Charter School,7800 Good Luck Road,Lanham,20706,Charter,Grades: K - 8,Charter,120ff8a0-6180-4dbe-b24e-d7e10ca42f1d,1349098.51146442,478538.631429344
46,St. Mary's,Chesapeake Public Charter School,20945 Great Mills Road,Lexington Park,20653,Charter,Grades: K - 8,Charter,cd05a9b2-02c5-4a9d-a0c1-895e4d776b19,1457953.36101151,210249.684740588
47,Prince George's,Chesapeake Math & IT Public Charter - Elementary,6151 Chevy Chase Drive,Laurel,20706,Charter,Grades: K - 5,Charter,8f43b3f7-3c9b-4035-a079-a586fd69c563,1340307.799059,519808.360241428
48,Baltimore City,Creative City Public Charter School,2810 Shirley Avenue,Baltimore,21215,Charter,Grades: K - 5,Charter,1fe550e1-4219-497d-8b5a-a4498a193ec8,1407051.68459985,607384.95608525
49,Baltimore City,Abbottston Elementary School # 050,1300 Gorsuch Avenue,Baltimore,21218,Public PreK-8,PreK-8,Public,7228b31f-8624-4b86-bee5-cc155559683f,1425646.08868392,604219.220946923
50,Harford,Aberdeen High School,251 Paradise Road,Aberdeen,21001,Public High,9-12,Public,ca0e9bdd-efba-4dda-8102-de9f8faea83f,1546191.57003343,674730.61043568
51,Harford,Aberdeen Middle School,111 Mount Royal Avenue,Aberdeen,21001,Public Middle,6-8,Public,63b9727d-4cb3-4bd1-aeaf-7b5d91f51c12,1548048.85372043,674384.652466178
52,Harford,Abingdon Elementary School,399 Singer Road,Abingdon,21009,Public Elementary,PreK-5,Public,85227bb5-e576-431f-b053-6bcaecf8513e,1502807.88678785,660177.119201511
53,Garrett,Accident Elementary School,534 Accident Bittinger Road,Accident,21520,Public Elementary,PreK-5,Public,761ecef9-d029-4afa-997b-77a1dd948bba,661561.540084422,721916.036405832
54,Prince George's,Accokeek Academy (Eugene Burroughs),14400 Berry Road,Accokeek,20607,Public PreK-8,5-8,Public,8f0d449b-e423-45db-bc4d-e24171d33996,1318232.83205417,371999.020362005
55,Prince George's,Adelphi Elementary School,8820 Riggs Road,Adelphi,20783,Public Elementary,PreK-6,Public,45469348-cbdc-4014-9ae1-500ce6babb03,1319712.87535392,485607.049707174
56,Baltimore City,Alexander Hamilton Elementary School # 145,800 Poplar Grove Street,Baltimore,21216,Public Elementary,PreK-5,Public,5efdca86-d572-46d9-b974-baba45d15009,1407058.04219867,594096.21921134
57,Allegany,Allegany High School,616 Sedgwick Street,Cumberland,21502,Public High,9-12,Public,b31651f1-49b6-4b08-9fdc-2d308cced6fd,812482.169344917,729449.651916012
58,Prince George's,Allenwood Elementary School,6300 Harley Lane,Temple Hills,20748,Public Elementary,PreK-6,Public,1788aeac-5ea4-4f6d-92e1-e0acda5b9fc9,1332240.62752934,413874.047504172
59,Prince George's,Andrew Jackson Academy,3500 Regency Parkway,Forestville,20747,Public PreK-8,PreK-8,Public,77237cc9-f4cd-43ff-9e03-b6a3d3cf23de,1338458.24271876,427770.077126756
60,Anne Arundel,Annapolis Elementary School,180 Green Street,Annapolis,21401,Public Elementary,PreK-5,Public,09de1cad-b9c3-455b-9368-53253329c3b5,1457966.00403084,477448.162809759
61,Anne Arundel,Annapolis High School,2700 Riva Road,Annapolis,21401,Public High,9-12,Public,3ac4c2d3-a092-48b6-a583-64fcc942b442,1435837.63293333,476588.769515425
62,Anne Arundel,Annapolis Middle School,1399 Forest Drive,Annapolis,21403,Public Middle,6-8,Public,ff470362-7af2-48f0-9fe3-74f3638d9dae,1451261.84946017,470689.236695096
63,Prince George's,Annapolis Road Academy High School,5150 Annapolis Road,Bladensburg,20710,Public Alternate,9-10,Public,c5be968a-eebd-4597-b93b-401bb4ae7b61,1332021.97278292,463757.169850588
64,Washington,Antietam Academy,40 West Oak Ridge Drive,Hagerstown,21740,Public Middle/High,6-12,Public,ad9d179d-a33e-47ce-8e77-0e4f775fb57d,1105486.75000125,710155.158024758
65,Calvert,Appeal Elementary School,11655 H.G. Trueman Road,Lusby,20657,Public Elementary,3-5,Public,2ad6df15-56d8-4e21-a8be-66bb50b6203c,1473879.43250576,258765.200242177
66,Prince George's,Apple Grove Elementary School,7400 Bellefield Avenue,Fort Washington,20744,Public Elementary,PreK-6,Public,5a9e5e83-634e-4fe7-81bd-f9982636afae,1322920.09170851,408792.010752261
67,Howard,Applications and Research Lab,10920 Clarksville Pike,Ellicott City,21043,Public CareerTech,N/A,Public,3fac5b2d-4f1b-418f-b02e-4cbb16d7ff66,1342782.15598692,571273.644449756
68,Baltimore,Arbutus Elementary School,1300 Sulphur Spring Road,Baltimore,21227,Public Elementary,PreK-5,Public,e382cc88-2372-4e24-a685-d6cdb6f60fb8,1398268.12014601,575946.582282335
69,Baltimore,Arbutus Middle School,5525 Shelbourne Road,Baltimore,21227,Public Middle,6-8,Public,fe1c29ae-7463-4d4b-9a0a-128d5c810c42,1395790.52831642,576016.726170927
70,Montgomery,Arcola Elementary School,1820 Franwell Avenue,Silver Spring,20902,Public Elementary,HS-5,Public,3d4ec970-dd48-4c0f-a5b5-49e9423165cf,1301111.64615226,502136.147882506
71,Prince George's,Ardmore Elementary School,9301 Ardwick Ardmore Road,Springdale,20774,Public Elementary,PreK-6,Public,1013b64f-b7bd-4859-bbe2-a52fdd40a805,1355967.20737268,461624.057318926
72,Montgomery,Argyle Middle School,2400 Bel Pre Road,Silver Spring,20906,Public Middle,6-8,Public,751cd63b-59d2-4ea5-b6f8-e43fa558eb9f,1298321.6530446,517770.147782415
73,Anne Arundel,Arlington Echo Education Center,975 Indian Landing Road,Millersville,21108,Public Environmental Education,K-12,Public,8e6c4b2a-accf-495c-b0ac-ea62b7060aed,1423556.64699668,513821.4512835
74,Baltimore City,Arlington Elementary/Middle School # 234,3705 West Rogers Avenue,Baltimore,21215,Public PreK-8,PreK-8,Public,9d25ca40-7e97-4a16-803f-75e6a473dc2b,1401707.70644267,613363.255152255
75,Baltimore City,Armistead Gardens Elementary/Middle School # 243,5001-5061 East Eager Street,Baltimore,21205,Public PreK-8,PreK-8,Public,6a56876f-c149-4eaf-be20-00b364e43684,1438405.62878159,596660.167167425
76,Anne Arundel,Arnold Elementary School,90 Church Road,Arnold,21012,Public Elementary,K-5,Public,cefced02-64f9-4c81-b3b3-48bd4d7980cd,1453430.45240642,498675.388399839
77,Prince George's,Arrowhead Elementary School,2300 Sansbury Road,Upper Marlboro,20774,Public Elementary,PreK-5,Public,94dd779e-4706-4501-8706-3d7296e2ff13,1357027.02579109,433480.26288484
78,Charles,Arthur Middle Schoolton Elementary School,1109 Copley Avenue,Waldorf,20601,Public Elementary,PreK-5,Public,c656b077-03cb-4682-bc32-7fc9db9fff16,1334660.92518218,340872.507483929
79,Anne Arundel,Arundel High School,1001 Annapolis Road,Gambrills,21054,Public High,9-12,Public,f3948863-45a0-453a-8213-1d63a74db16d,1402616.44051759,511707.633660749
80,Anne Arundel,Arundel Middle School,1179 Hammond Lane,Odenton,21113,Public Middle,6-8,Public,cc730f34-935c-442c-891c-63e37ead7818,1401461.267303,512149.717750341
81,Baltimore City,Arundel Elementary/Middle School # 164,2400 Round Road,Baltimore,21225,Public PreK-8,PreK-8,Public,cf8a4c29-df5b-4e8c-b9cb-61a52abc5998,1417705.4319931,577402.315263256
82,Montgomery,Ashburton Elementary School,6314 Lone Oak Drive,Bethesda,20817,Public Elementary,K-5,Public,79876aea-e623-475f-93a9-bec4c7c2cc37,1276106.01768592,492629.173130095
83,Howard,Atholton Elementary School,6700 Seneca Drive,Columbia,21046,Public Elementary,PreK-5,Public,b10d14be-8492-40cf-86cb-fd66dede981d,1351106.09898467,553283.585613668
84,Howard,Atholton High School,6520 Freetown Road,Columbia,21044,Public High,9-12,Public,c0232497-8c5e-471a-a3fd-857309267d30,1346179.9982726,554091.409457341
85,Prince George's,Avalon Elementary School,7302 Webster Lane,Fort Washington,20744,Public Elementary,PreK-6,Public,7f209e24-a04a-40aa-8c72-d85694c34431,1328832.88270442,409408.628613502
86,Prince George's,Baden Elementary School,13601 Baden-Wood Road,Brandywine,20613,Public Elementary,PreK-6,Public,da08e838-411f-4d87-8483-fd7f89976356,1377907.26093343,362104.631358176
87,Cecil,Bainbridge Elementary School,41 Preston Drive,Port Deposit,21904,Public Elementary,PreK-5,Public,fa890214-fb04-4993-9a48-c96379016608,1573186.06722543,707725.924366176
88,Montgomery,Baker (John T.) Middle School,25400 Oak Drive,Damascus,20872,Public Middle,6-8,Public,d5fb2dd3-cd99-4375-ba40-3b74119ff504,1250392.03958642,585466.873937249
89,Harford,Bakerfield Elementary School,36 Baker Street,Aberdeen,21001,Public Elementary,PreK-5,Public,65e1880c-2c5b-4584-bbad-45492ec65216,1546539.225178,673466.424971923
90,Frederick,Ballenger Creek Elementary School,5250 Kingsbrook Drive,Frederick,21703,Public Elementary,PreK-5,Public,ac9b5131-d27b-4c20-9299-8c48a6ec77de,1190609.89307484,623473.275614589
91,Frederick,Ballenger Creek Middle School,5525 Ballenger Creek Pike,Frederick,21703,Public Middle,6-8,Public,c0fbd132-64f8-4962-a3e8-a9f8fdc448b1,1187695.42515051,626381.672356844
92,Baltimore City,Baltimore City College # 480,3220 The Alameda,Baltimore,21218,Public High,9-12,Public,75dd39a0-d23a-4eba-8b7a-b02b75e16d8e,1426805.12704825,605152.90149425
93,Baltimore,Baltimore Highlands Elementary School,4200 Annapolis Road,Baltimore,21227,Public Elementary,PreK-5,Public,c2e26bf9-c559-40be-88ea-f3c24cc4f260,1413697.13686009,572095.721873835
94,Baltimore City,Baltimore Polytechnic Institute # 403,1400 West Cold Spring Lane,Baltimore,21209,Public High,9-12,Public,e2267fc9-a482-402b-b671-9e097065cacf,1413181.63690685,612172.132206425
95,Baltimore City,Baltimore School for the Arts # 415,712 Cathedral Street,Baltimore,21202,Public High,9-12,Public,dc6c221f-2363-41b8-a3a4-d1224757cdaa,1420609.50590934,594397.083439007
96,Montgomery,Banneker (Benjamin) Middle School,14800 Perrywood Drive,Burtonsville,20866,Public Middle,6-8,Public,c4c8f080-f388-4d54-9959-e1ec4ec62c0d,1327015.40339975,520478.711591005
97,Montgomery,Bannockburn Elementary School,6520 Dalroy Lane,Bethesda,20817,Public Elementary,K-5,Public,fd715b6f-1523-427b-afe0-fc175a73f230,1273017.64951885,476210.155771345
98,Prince George's,Barack Obama Elementary School,12700 Brooke Lane,Upper Marlboro,20772,Public Elementary,PreK-5,Public,bc9405a6-ddbb-453c-9c98-4a92a49b3649,1373259.95559551,425248.767208755
99,Washington,Barbara Ingram School for the Arts,7-11 South Potomac Street,Hagerstown,21740,Public High,9-12,Public,f1f6ecef-0f54-45a7-9180-364e19445918,1109445.00192726,720198.724551752
100,Baltimore City,Barclay Elementary/Middle School # 054,2900 Barclay Street,Baltimore,21218,Public PreK-8,PreK-8,Public,c8723c57-233a-4a21-b03d-0139d1fd8121,1422277.59706134,603711.283970669
101,Prince George's,Barnaby Manor Elementary School,2411 Owens Road,Oxon Hill,20745,Public Elementary,PreK-5,Public,810bc0e4-c0aa-42e0-8dd1-8e7b8d5ae692,1322254.47230484,418790.732224584
102,Montgomery,Barnsley (Lucy V.) Elementary School,14516 Nadine Drive,Rockville,20853,Public Elementary,PreK-5,Public,cebc889c-8eb9-4d37-9165-1142cacbc758,1282654.8418586,519773.226125345
103,Calvert,Barstow Elementary School,295 Williams Road,Prince Frederick,20678,Public Elementary,PreK-5,Public,8ebc2139-1c49-491d-a6ab-1a02ae7b964e,1424017.81175676,318877.650555089
104,Anne Arundel,Bates Middle School,701 Chase Street,Annapolis,21401,Public Middle,6-8,Public,068c33a2-b4f5-45b8-ab1c-4d0c76848f5c,1452975.9657826,475865.279164508
105,Baltimore,Battle Grove Elementary School,7828 St Patricia Lane,Baltimore,21222,Public Elementary,PreK-5,Public,91a99e73-34fe-4381-9e94-cdc709685d9c,1461029.80925493,583881.191741168
106,Baltimore,Battle Monument School,7801 East Collingham Drive,Baltimore,21222,Public Special Education,Sp. Ed.,Public,26ea352b-c70b-4bf9-acd0-729eda93d206,1458312.34093659,585628.876566008
107,Baltimore City,Bay Brook # 124B 4-8 (formerly Harbor View Special Education) # 304,4411 Sixth Street,Baltimore,21225,Public Middle,4-8,Public,41f1ba30-b2d7-48b5-a6ba-c3149b85b99c,1425770.26888175,568084.156078085
108,Baltimore City,Bay Brook Elementary/Middle School # 124A,4301 Tenth Street,Baltimore,21225,Public Elementary,PreK-3,Public,d06ee400-49e4-4076-a5ba-8bde41f5a222,1425781.65796658,568333.634909838
109,Cecil,Bay View Elementary School,910 North East Road,North East,21901,Public Elementary,PreK-5,Public,35995b11-a0a9-417e-a929-8680000ccfa9,1606105.06569175,719820.780097678
110,Queen Anne's,Bayside Elementary School,301 Church Street,Stevensville,21666,Public Elementary,3-5,Public,6b3f55f0-5a79-4b19-8e53-2ee200bd440c,1509282.2583535,479750.990225092
111,Calvert,Beach Elementary School,7900 Old Bayside Road,Chesapeake Beach,20732,Public Elementary,PreK-5,Public,10f64ac5-6155-419c-ad09-f7f0ac344363,1444414.79261626,370655.494177669
112,Prince George's,Beacon Heights Elementary School,6929 Furman Parkway,Riverdale,20737,Public Elementary,PreK-6,Public,711126d0-0aaf-4f26-9fe2-7f8de66d41e0,1341296.44143867,470170.462798253
113,Allegany,Beall Elementary School,3 East College Avenue,Frostburg,21532,Public Elementary,PreK-5,Public,14a6f8c9-b873-48f4-b9f8-37609b757660,768378.722118929,729647.452373415
114,Montgomery,Beall Elementary School,451 Beall Avenue,Rockville,20850,Public Elementary,HS-5,Public,81a336f2-0c5f-4dea-834a-af267761d2a3,1266395.93704051,517864.47666201
115,Baltimore,Bear Creek Elementary School,1601 Melbourne Road,Baltimore,21222,Public Elementary,PreK-5,Public,b0732b9c-2a5e-47db-aa42-8a18fe4caa9e,1458850.09707892,583759.243166178
116,Wicomico,Beaver Run Elementary School,31481 Ocean City Road,Salisbury,21804,Public Elementary,PreK-2,Public,9591779f-eddd-4b12-bb1b-3346ca6ba2e5,1736576.11117959,262117.360860676
117,Baltimore,Bedford Elementary School,7407 Dorman Drive,Baltimore,21208,Public Elementary,1-5,Public,64d6bb0f-cae3-47b7-99a6-f5ee3a8d4538,1388605.33435351,616947.731579095
118,Baltimore City,Beechfield Elementary/Middle School # 246,301 South Beechfield Avenue,Baltimore,21229,Public PreK-8,PreK-8,Public,5f203679-aacf-4226-9dfe-12a6c49d768e,1399054.38071258,587978.082497507
119,Allegany,Bel Air Elementary School,14401 Barton Boulevard,Cumberland,21502,Public Elementary,PreK-5,Public,68ccd95f-3198-4433-816b-71c316ce8e5f,790299.675980344,701207.501707509
120,Harford,Bel Air Elementary School,30 East Lee Street,Bel Air,21014,Public Elementary,PreK-5,Public,eb6c511d-3e03-4f34-ab2e-de8f556023f6,1495579.97342217,682511.446580008
121,Harford,Bel Air High School,100 Heighe Street,Bel Air,21014,Public High,9-12,Public,67962ebb-e49c-4891-a86c-ae52a13e41aa,1496298.92867717,679742.916684002
122,Harford,Bel Air Middle School,99 Idlewild Street,Bel Air,21014,Public Middle,6-8,Public,06923b22-3afe-469a-a8d9-62df776897b3,1497261.2866606,678514.528064668
123,Montgomery,Bel Pre Elementary School,13801 Rippling Brook Drive,Silver Spring,20906,Public Elementary,PreK-2,Public,9f7ee6d7-7afd-4cfa-b432-8f7124dbe750,1296790.64823259,515426.143284082
124,Anne Arundel,Belle Grove Elementary School,4502 Belle Grove Road,Baltimore,21225,Public Elementary,PreK-5,Public,26e8ec4b-8ee2-4ab0-a909-8e3da73632f2,1419434.95149992,569468.789791763
125,Howard,Bellows Spring Elementary School,8125 Old Stockbridge Drive,Ellicott City,21043,Public Elementary,PreK-5,Public,ec19fd90-d19e-4d89-bd25-e9d514b21781,1372826.00633217,559996.720153257
126,Montgomery,Bells Mill Elementary School,8225 Bells Mill Road,Potomac,20854,Public Elementary,HS-5,Public,27806c3c-b453-442b-a86b-d79c5bfeec61,1264409.34160426,497362.586235419
127,Montgomery,Belmont Elementary School,19528 Olney Mill Road,Olney,20832,Public Elementary,K-5,Public,1d59543d-4d6e-429c-8563-be18b80c002c,1293394.65174375,550733.137958676
128,Baltimore City,Belmont Elementary School # 217,1406 North Ellamont Street,Baltimore,21216,Public Elementary,PreK-5,Public,a4f3136d-40b9-4cae-914a-87abc6bd3a9b,1405440.48506634,596260.70471175
129,Prince George's,Beltsville Academy,4300 Wicomico Avenue,Beltsville,20705,Public PreK-8,PreK-8,Public,41b96a76-7215-419b-b71f-7d2b1f025b78,1335465.65716851,499679.732191667
130,Anne Arundel,Belvedere Elementary School,360 Broadwater Road,Arnold,21012,Public Elementary,PreK-5,Public,b274e038-e287-451d-8393-ec94c72675af,1453628.19905818,507331.883554012
131,Anne Arundel,Benfield Elementary School,365 Lynwood Drive,Severna Park,21146,Public Elementary,K-5,Public,a53dc4a9-cd71-4ad2-8b23-4881d2122d10,1428970.52986968,516913.474955082
132,St. Mary's,Benjamin Banneker Elementary School,27180 Point Lookout Road,Loveville,20656,Public Elementary,PreK-5,Public,96f8eeb1-6b19-485b-b044-3649776c547f,1405604.53165425,241481.533037916
133,Prince George's,Benjamin Foulois Creative and Performing Arts Academy,4601 Beauford Road,Morningside,20746,Public Elementary/Middle,K-8,Public,20575c59-a581-41db-97d8-0c1c2d500939,1344596.43319826,422568.784707844
134,Baltimore City,Benjamin Franklin Building # 239,1201 Cambria Street,Baltimore,21225,Public High,9-12,Public,794c4c8a-90e2-48a1-ae93-09232a140672,1427448.00568375,570637.113570586
135,Charles,Benjamin Stoddert Middle School,2040 St Thomas Drive,Waldorf,20601,Public Middle,6-8,Public,3500004c-14d5-4e49-8d18-7189fdb1dedd,1341526.61486284,340388.000250846
136,Prince George's,Benjamin Stoddert Middle School,2501 Olson Street,Temple Hills,20748,Public Middle,6-8,Public,911978d8-fe27-41ad-b6c1-3d7c1e9af99c,1327260.01872417,423796.472213089
137,Prince George's,Benjamin Tasker Middle School,4901 Collington Road,Bowie,20715,Public Middle,6-8,Public,def2d20e-8bc3-41c8-94a1-261c27a44d13,1384613.59561785,470338.645860836
138,Baltimore,Berkshire Elementary School,7431 Poplar Avenue,Baltimore,21224,Public Elementary,PreK-5,Public,e436a683-8025-47c2-a3bb-7b3a876a3551,1450504.92676142,590620.471569672
139,Worcester,Berlin Intermediate,309 Franklin Avenue,Berlin,21811,Public Elementary/Middle,4-6,Public,3b9af647-a6cb-4362-95e5-9602aa9a2337,1825363.68163559,246945.146454498
140,Charles,Berry Elementary School,10155 Berry Road,Waldorf,20603,Public Elementary,PreK-5,Public,16b86db6-330b-4054-9f10-939e68b0d3e0,1323725.46542583,357367.906579673
