GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%
24031700613,129500.0,164821.0,1732.0,2339.0,550600.0,666600.0,27.27490347490347,35.04618937644342,21.06792589901925
24031700614,74389.0,86460.0,1502.0,1810.0,211700.0,325400.0,16.226861498339808,20.505992010652463,53.708077468115256
24031700615,145417.0,210000.0,2000.0,2719.0,609600.0,789000.0,44.41227641885062,35.949999999999996,29.429133858267715
24031700616,127228.0,177768.0,2000.0,2538.0,543100.0,758500.0,39.72396013456157,26.900000000000002,39.661204198121894
24031700617,,181042.0,,1994.0,,739800.0,,,
24031700618,,207875.0,,3500.0,,825900.0,,,
24031700704,72554.0,,1164.0,,358400.0,,,,
24031700706,69444.0,102917.0,1411.0,1932.0,323200.0,513600.0,48.20142848914233,36.92416725726435,58.91089108910891
24031700710,92269.0,121823.0,1582.0,1791.0,375400.0,504200.0,32.0302593503777,13.211125158027812,34.310069259456576
24031700711,97632.0,116150.0,1576.0,2405.0,379900.0,518500.0,18.967141920681744,52.60152284263959,36.483285075019744
24031700713,48485.0,53333.0,1373.0,1844.0,228800.0,294700.0,9.998968753222647,34.304442825928625,28.802447552447553
24031700715,98433.0,104456.0,2000.0,2298.0,304300.0,389700.0,6.118882894964087,14.899999999999999,28.064410121590537
24031700716,83726.0,,1546.0,,277900.0,,,,
24031700717,66964.0,,1361.0,,318000.0,,,,
24031700718,113679.0,120918.0,2000.0,2470.0,472100.0,606200.0,6.367930752381707,23.5,28.40499894090235
24031700719,55013.0,,1258.0,,200700.0,,,,
24031700720,94624.0,151667.0,1421.0,2178.0,401400.0,545300.0,60.283860331416975,53.27234342012667,35.84952665670155
24031700721,60648.0,75058.0,1240.0,1755.0,168600.0,211600.0,23.760058039836434,41.53225806451613,25.50415183867141
24031700722,77614.0,,1470.0,,255300.0,,,,
24031700723,62431.0,93846.0,1559.0,2129.0,299500.0,457900.0,50.31955278627605,36.561898652982684,52.88814691151919
24031700724,44784.0,63361.0,1269.0,1485.0,145700.0,530200.0,41.48133261879243,17.02127659574468,263.8984214138641
24031700725,,72031.0,,1916.0,,279200.0,,,
24031700726,,,,1889.0,,490800.0,,,
24031700727,,85500.0,,1568.0,,440800.0,,,
24031700728,,99444.0,,2111.0,,554000.0,,,
24031700729,,130833.0,,1824.0,,445400.0,,,
24031700730,,111842.0,,1850.0,,471900.0,,,
24031700731,,77281.0,,2084.0,,471300.0,,,
24031700732,,80375.0,,1486.0,,314400.0,,,
24031700733,,86231.0,,1837.0,,304400.0,,,
24031700810,99960.0,153281.0,1738.0,2253.0,336300.0,398200.0,53.342336934773904,29.63176064441887,18.4061849539102
24031700811,83389.0,90217.0,1846.0,2327.0,267700.0,371700.0,8.188130328940268,26.056338028169012,38.84945834889802
24031700812,76471.0,90919.0,1415.0,2160.0,268500.0,346700.0,18.89343672764839,52.65017667844523,29.124767225325886
24031700813,76018.0,102468.0,1234.0,1626.0,243400.0,367600.0,34.794390802178434,31.766612641815232,51.02711585866886
24031700815,90962.0,106404.0,1796.0,2296.0,268200.0,366500.0,16.976319781886943,27.839643652561247,36.6517524235645
24031700816,72681.0,,1407.0,,286400.0,,,,
24031700817,84583.0,,1733.0,,373300.0,,,,
24031700818,65422.0,79668.0,1404.0,1776.0,244600.0,370400.0,21.775549509339363,26.495726495726498,51.43090760425184
24031700819,75343.0,102798.0,1672.0,2099.0,258800.0,360100.0,36.44001433444381,25.53827751196172,39.14219474497681
24031700820,62558.0,86746.0,1521.0,2105.0,415100.0,550500.0,38.664918955209565,38.39579224194608,32.618646109371234
24031700822,65476.0,79183.0,1356.0,1691.0,135500.0,167200.0,20.934388172765594,24.705014749262535,23.394833948339482
24031700823,109417.0,160789.0,2000.0,2732.0,379100.0,536900.0,46.95065666212746,36.6,41.62490108150884
24031700824,132930.0,220385.0,1495.0,2163.0,617600.0,748000.0,65.79026555329874,44.68227424749164,21.1139896373057
24031700826,122981.0,165700.0,1823.0,2369.0,542800.0,767300.0,34.73626007269416,29.95063082830499,41.35961680176861
24031700828,154896.0,212065.0,1685.0,2133.0,599600.0,848200.0,36.90798987707881,26.58753709198813,41.460973982655105
24031700829,128594.0,150052.0,2000.0,2713.0,428800.0,480400.0,16.686626125635723,35.65,12.033582089552239
24031700830,64621.0,88163.0,1738.0,2195.0,373600.0,470900.0,36.430881601956024,26.294591484464902,26.043897216274093
24031700832,70405.0,86696.0,1206.0,1778.0,260700.0,337400.0,23.138981606419996,47.42951907131012,29.420790180283852
24031700833,81056.0,108221.0,1218.0,1799.0,331700.0,394500.0,33.51386695617845,47.701149425287355,18.932770575821525
24031700834,90788.0,107639.0,1668.0,2045.0,235400.0,304300.0,18.560823016257654,22.60191846522782,29.269328802039084
24031700835,140550.0,162600.0,2000.0,2282.0,493700.0,608900.0,15.688367129135539,14.099999999999998,23.3340085071906
24031700836,,89196.0,,1968.0,,402900.0,,,
24031700837,,101408.0,,2143.0,,383500.0,,,
24031700838,,107250.0,,2244.0,,415100.0,,,
24031700839,,99602.0,,2305.0,,608100.0,,,
24031700901,78917.0,82617.0,1596.0,2177.0,316500.0,485400.0,4.688470164856748,36.40350877192983,53.3649289099526
24031700902,88068.0,116982.0,1608.0,1804.0,326000.0,455100.0,32.831448426216106,12.189054726368159,39.601226993865026
24031700903,82222.0,103365.0,1501.0,2116.0,338700.0,485600.0,25.71452895818637,40.97268487674883,43.371715382344256
24031700904,68571.0,91136.0,1387.0,2027.0,267900.0,622900.0,32.90749733852503,46.142754145638065,132.51213139231058
24031700905,86630.0,103924.0,1704.0,2144.0,609700.0,843900.0,19.96306129516334,25.821596244131456,38.41233393472199
24031701001,101346.0,149402.0,1481.0,1751.0,521800.0,733700.0,47.417756990902454,18.23092505064146,40.60942889996167
24031701002,203125.0,226528.0,2000.0,3039.0,688800.0,929500.0,11.521476923076923,51.949999999999996,34.944831591173056
24031701004,108603.0,148301.0,1794.0,2899.0,537200.0,683500.0,36.55331804830438,61.59420289855072,27.23380491437081
24031701005,121250.0,164028.0,2000.0,3054.0,639400.0,731700.0,35.28082474226804,52.7,14.435408195182983
24031701006,138167.0,195417.0,2000.0,2554.0,606600.0,842800.0,41.435364450266704,27.700000000000003,38.938344873062974
24031701007,99539.0,122531.0,1879.0,2457.0,597700.0,741700.0,23.098484011292054,30.76104310803619,24.09235402375774
24031701101,103869.0,149651.0,1961.0,2573.0,343800.0,548700.0,44.07667350219989,31.20856705762366,59.59860383944153
24031701102,79719.0,126402.0,1942.0,2329.0,318100.0,494300.0,58.55944003311632,19.92790937178167,55.391386356491665
24031701201,91693.0,135443.0,1545.0,2395.0,337300.0,459800.0,47.71356592106268,55.016181229773466,36.31781796620219
24031701202,142813.0,243125.0,2000.0,3076.0,618600.0,841100.0,70.24010419219539,53.800000000000004,35.96831555124474
24031701205,174792.0,219118.0,2000.0,3248.0,796400.0,996100.0,25.359284177765574,62.4,25.075339025615268
24031701206,141151.0,246090.0,2000.0,3500.0,657600.0,815200.0,74.34520478069585,75.0,23.96593673965937
24031701210,185556.0,243261.0,2000.0,,768200.0,955000.0,31.09842850675807,,24.31658422285863
24031701211,114255.0,116864.0,1827.0,2247.0,568100.0,675300.0,2.2834886875847884,22.988505747126435,18.869917268086606
24031701212,152656.0,196607.0,2000.0,3199.0,492700.0,671100.0,28.790876218425744,59.95,36.20864623503146
24031701213,121938.0,,1988.0,,493500.0,,,,
24031701214,90223.0,101115.0,1711.0,2053.0,251500.0,,12.072309721467917,19.988310929281123,
24031701215,84536.0,111277.0,1619.0,1884.0,281000.0,298900.0,31.6326772026119,16.368128474366895,6.370106761565836
24031701216,86667.0,114757.0,1946.0,2281.0,425200.0,512100.0,32.41141380225461,17.21479958890031,20.43744120413923
24031701218,74565.0,85104.0,1708.0,1850.0,403100.0,413100.0,14.133977066988535,8.313817330210773,2.4807740014884643
24031701219,59375.0,74559.0,1533.0,1894.0,,,25.573052631578946,23.54859752120026,
24031701220,180529.0,245505.0,1245.0,3337.0,857400.0,1042800.0,35.99200128511208,168.0321285140562,21.623512946116165
24031701221,124213.0,182458.0,1833.0,2304.0,1000000.0,1056600.0,46.891227166238636,25.695581014729953,5.66
24031701222,,155167.0,,2476.0,,753600.0,,,
24031701223,,126736.0,,2535.0,,439600.0,,,
24031701303,133182.0,194038.0,2000.0,3417.0,607300.0,731400.0,45.693862533976066,70.85000000000001,20.434711015972336
24031701304,122708.0,195667.0,2000.0,2617.0,444500.0,631200.0,59.4574110897415,30.85,42.00224971878515
24031701306,149375.0,210288.0,,2685.0,588600.0,730900.0,40.77857740585774,,24.17601087325858
24031701307,142266.0,184348.0,1742.0,2260.0,569100.0,796900.0,29.57980121743776,29.73593570608496,40.028114566859955
24031701308,148885.0,165473.0,246.0,451.0,785000.0,770800.0,11.141485038788327,83.33333333333334,-1.8089171974522293
24031701312,135725.0,164485.0,1079.0,2323.0,523500.0,584900.0,21.189906060047893,115.29193697868396,11.728748806112703
24031701313,111853.0,172167.0,1830.0,2306.0,464700.0,625800.0,53.922559073069124,26.010928961748636,34.667527437056165
24031701314,104457.0,165163.0,1419.0,2631.0,392200.0,546800.0,58.115779698823445,85.41226215644821,39.41866394696583
24031701315,114417.0,155948.0,1487.0,2560.0,438600.0,485800.0,36.297927755490875,72.15870880968393,10.761513907888737
24031701316,118158.0,177266.0,1459.0,2079.0,651200.0,782800.0,50.02454340797915,42.494859492803286,20.208845208845208
24031701317,161944.0,204141.0,1500.0,2140.0,714300.0,862700.0,26.056538062540135,42.66666666666667,20.775584488310233
24031701407,123500.0,175121.0,2000.0,2804.0,499000.0,674600.0,41.79838056680162,40.2,35.190380761523045
24031701408,125938.0,126050.0,1719.0,2585.0,529300.0,701200.0,0.08893264939891057,50.37812681791739,32.4768562252031
24031701409,137083.0,204685.0,2000.0,2330.0,506600.0,645700.0,49.31464878941954,16.5,27.45756020529017
24031701410,89672.0,,1716.0,,290000.0,,,,
24031701414,80964.0,125263.0,1616.0,1923.0,389400.0,561000.0,54.71444098611728,18.997524752475247,44.06779661016949
24031701415,107668.0,111795.0,1224.0,1372.0,419000.0,577500.0,3.8330794665081545,12.091503267973856,37.828162291169456
24031701417,63394.0,78427.0,1652.0,1872.0,238500.0,333200.0,23.713600656213522,13.317191283292978,39.706498951781974
24031701418,103750.0,115167.0,1830.0,2752.0,334300.0,412400.0,11.00433734939759,50.38251366120219,23.362249476518098
24031701420,68367.0,,2000.0,,309700.0,,,,
24031701421,75525.0,,1438.0,,203400.0,,,,
24031701422,42097.0,56631.0,1399.0,1768.0,,,34.52502553626149,26.375982844889208,
24031701423,57821.0,88389.0,1479.0,1852.0,270200.0,362000.0,52.8666055585341,25.21974306964165,33.97483345669875
24031701424,,146085.0,,2357.0,,586100.0,,,
24031701425,,98802.0,,3144.0,,374000.0,,,
24031701426,,130701.0,,2140.0,,384500.0,,,
24031701427,,113952.0,,2379.0,,490200.0,,,
24031701503,93095.0,145625.0,1180.0,2532.0,377700.0,536200.0,56.42623126913367,114.57627118644066,41.96452210749272
24031701505,76028.0,106462.0,1606.0,1830.0,389200.0,574700.0,40.029988951438945,13.947696139476962,47.66187050359712
24031701506,134208.0,177404.0,2000.0,2756.0,444700.0,586500.0,32.18586075345732,37.8,31.886665167528673
24031701507,122266.0,138611.0,1142.0,1806.0,487200.0,659600.0,13.368393502690854,58.14360770577933,35.385878489326764
24031701508,54195.0,81032.0,1511.0,1797.0,280500.0,463700.0,49.51932835132392,18.927862342819324,65.31194295900178
24031701509,48573.0,59854.0,1335.0,1753.0,436200.0,561500.0,23.224836843513884,31.310861423220977,28.72535534158643
24031701601,67750.0,71507.0,1599.0,1938.0,452400.0,483300.0,5.545387453874539,21.200750469043154,6.830238726790451
