X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.05488344,38.92445694,89827,Ward 3,"2650 Woodley Road Northwest, Washington, District of Columbia 20008",Wardman Park Building A,Under Construction,DHCD,25,38.92546215,-77.05428131,0,1,24,0,0,,336898,395241.03,139620.79,2650 WOODLEY ROAD NW,2024/02/05 05:00:27+00
-76.97803409,38.85489878,89828,Ward 8,"1821 Gainesville Street Southeast, Washington, District of Columbia 20020",1821 Gainesville Residences,Pipeline,DHCD,1,38.854891,-76.97803182,0,1,0,0,0,,331623,401906.81,131898.09,1821 GAINESVILLE STREET SE,2024/02/05 05:00:27+00
-77.00304296,38.90276528,89829,Ward 6,"200 K Street Northeast, Washington, District of Columbia 20002",Union Place,Completed 2015 to Date,,58,38.90275783,-77.00304068,0,0,0,58,0,,299625,399736.25,137211.41,200 K STREET NE,2024/02/05 05:00:27+00
-76.99587126,38.93213728,89830,Ward 5,"701 Monroe Street Northeast, Washington, District of Columbia 20017",Monroe Street Market - Everton (Block E),Completed 2015 to Date,,10,38.93212948,-76.99586897,0,0,0,10,0,,310875,400358.18,140471.95,701 MONROE STREET NE,2024/02/05 05:00:27+00
-76.99070703,38.90316456,89831,Ward 5,"1124 Florida Avenue Northeast, Washington, District of Columbia 20002",1124-1126 Florida Avenue NE,Pipeline,DHCD,4,38.90315678,-76.99070475,0,0,0,4,0,,149783,400806.27,137255.77,1124 FLORIDA AVENUE NE,2024/02/05 05:00:27+00
-77.03368699,38.91052242,89832,Ward 2,"1455 Church Street Northwest, Washington, District of Columbia 20005",1455-1469 Church Street NW,Pipeline,DHCD,6,38.91051463,-77.0336847,0,3,3,0,0,,302496,397078.49,138073.05,1455 CHURCH STREET NW,2024/02/05 05:00:27+00
-76.97866551,38.90053399,89833,Ward 5,"801 17th Street Northeast, Washington, District of Columbia 20002",801 17th Street NE - Modera H Street,Under Construction,DHCD,32,38.90076347,-76.97812952,0,16,16,0,0,,288960,401850.82,136963.93,801 17TH STREET NE,2024/02/05 05:00:27+00
-76.96794606,38.85536272,89834,Ward 8,"2812 Gainesville Street Southeast, Washington, District of Columbia 20020",2812 Gainesville Street SE,Pipeline,DHCD,1,38.85535494,-76.96794379,0,1,0,0,0,,44325,402782.42,131949.85,2812 GAINESVILLE STREET SE,2024/02/05 05:00:27+00
-77.0272816,38.97784437,89835,Ward 4,"1108 Fern Street Northwest, Washington, District of Columbia 20012",WRAMC - Pacels A-G (The Veranda),Under Construction,DMPED,12,38.97783656,-77.0272793,0,0,0,12,0,,337495,397636.27,145546.2,1108 FERN STREET NW,2024/02/05 05:00:27+00
-77.01030365,38.86888227,89836,Ward 6,"1700 Half Street Southwest, Washington, District of Columbia 20024",1700 Half Street SW,Pipeline,DHCD,43,38.86887482,-77.01030136,0,0,43,0,0,21-20Phase 1,310967,399106.03,133450.18,1700 HALF STREET SW,2024/02/05 05:00:27+00
-77.0093808,38.87449269,89837,Ward 6,"1301 South Capitol Street Southwest, Washington, District of Columbia 20003",1301 South Capitol Street SW,Pipeline,DHCD,6,38.87448524,-77.00937852,0,1,5,0,0,21-27,68830,399186.18,134072.97,1301 SOUTH CAPITOL STREET SW,2024/02/05 05:00:27+00
-77.07264003,38.93585016,89838,Ward 3,"3427 Wisconsin Avenue Northwest, Washington, District of Columbia 20016",3427 Wisconsin Ave NW,Pipeline,DHCD OP,9,38.9358427,-77.07263772,0,0,9,0,0,22-17,221468,393702.29,140886.61,3427 WISCONSIN AVENUE NW,2024/02/05 05:00:27+00
