ShapeSTArea,ShapeSTLength,OBJECTID_left,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,index_right,OBJECTID_right,GIS_ID,NAME,WEB_URL,ADDRESS,MetroLine
1882617.734375,10670.647841187969,2517,24,031,700904,24031700904,7009.04,Census Tract,G5020,S,1132114,1173,+39.0656133,-077.1290436,38,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
1882617.734375,10670.647841187969,2517,24,031,700904,24031700904,7009.04,Census Tract,G5020,S,1132114,1173,+39.0656133,-077.1290436,37,38,mstn_38,Rockville,http://www.wmata.com/rail/station_detail.cfm?station_id=17,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
8523210.68359375,13499.985697543796,2518,24,031,701001,24031701001,7010.01,Census Tract,G5020,S,5110848,19891,+39.0639542,-077.1398562,38,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
8523210.68359375,13499.985697543796,2518,24,031,701001,24031701001,7010.01,Census Tract,G5020,S,5110848,19891,+39.0639542,-077.1398562,37,38,mstn_38,Rockville,http://www.wmata.com/rail/station_detail.cfm?station_id=17,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
3144990.1875,8305.786131457637,2521,24,031,701005,24031701005,7010.05,Census Tract,G5020,S,1888661,3692,+39.0833260,-077.1673715,37,38,mstn_38,Rockville,http://www.wmata.com/rail/station_detail.cfm?station_id=17,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
1834153.93359375,7703.1684263184725,2646,24,031,703602,24031703602,7036.02,Census Tract,G5020,S,1104458,783,+39.0315386,-077.0621522,6,7,mstn_7,Wheaton,http://www.wmata.com/rail/station_detail.cfm?station_id=33,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
1977714.6953125,6646.55385436411,2647,24,031,703701,24031703701,7037.01,Census Tract,G5020,S,1190992,0,+39.0532841,-077.0624733,5,6,mstn_6,Glenmont,http://www.wmata.com/rail/station_detail.cfm?station_id=34,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red
2017034.05859375,6902.248111724494,2648,24,031,703800,24031703800,7038,Census Tract,G5020,S,1215086,139,+39.0360600,-077.0547130,6,7,mstn_7,Wheaton,http://www.wmata.com/rail/station_detail.cfm?station_id=33,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
2363484.20703125,6334.119464840306,2649,24,031,703901,24031703901,7039.01,Census Tract,G5020,S,1419583,5035,+39.0202612,-077.0362582,7,8,mstn_8,Forest Glen,http://www.wmata.com/rail/station_detail.cfm?station_id=32,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red
3608253.515625,8570.428584797397,2650,24,031,703902,24031703902,7039.02,Census Tract,G5020,S,2174196,0,+39.0322535,-077.0397148,6,7,mstn_7,Wheaton,http://www.wmata.com/rail/station_detail.cfm?station_id=33,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
3757906.3671875,10190.598423613212,2651,24,031,704000,24031704000,7040,Census Tract,G5020,S,2264881,181,+39.0216780,-077.0544179,7,8,mstn_8,Forest Glen,http://www.wmata.com/rail/station_detail.cfm?station_id=32,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red
1963815.9296875,6210.144098268502,2695,24,031,705601,24031705601,7056.01,Census Tract,G5020,S,1179882,5940,+38.9566642,-077.1006777,35,36,mstn_36,Friendship Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=11,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red
821611.1328125,4517.459705918686,2696,24,031,705501,24031705501,7055.01,Census Tract,G5020,S,496065,0,+38.9607393,-077.0902928,35,36,mstn_36,Friendship Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=11,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red
4345264.78125,9135.7787008698,2916,24,031,700718,24031700718,7007.18,Census Tract,G5020,S,2607797,4305,+39.1146622,-077.1823146,36,37,mstn_37,Shady Grove,http://www.wmata.com/rail/station_detail.cfm?station_id=18,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red
4412142.98046875,12849.28341430658,2934,24,031,704404,24031704404,7044.04,Census Tract,G5020,S,2658633,1576,+39.0120658,-077.0997918,41,42,mstn_42,Medical Center,http://www.wmata.com/rail/station_detail.cfm?station_id=13,"8810 ROCKVILLE PIKE, BETHESDA, MD",red
1334095.9375,4801.102869404361,3041,24,031,700905,24031700905,7009.05,Census Tract,G5020,S,803306,0,+39.0573474,-077.1311847,38,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
2256234.7734375,6949.658297586313,3058,24,031,701216,24031701216,7012.16,Census Tract,G5020,S,1358375,505,+39.0478603,-077.1158425,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
