geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US24005451801,"Census Tract 4518.01, Baltimore, MD",1897,223,1287,225,610,204
14000US24005451802,"Census Tract 4518.02, Baltimore, MD",1818,268,1533,264,285,151
14000US24005451803,"Census Tract 4518.03, Baltimore, MD",1765,175,1331,181,434,143
14000US24005451900,"Census Tract 4519, Baltimore, MD",1090,164,955,176,135,81
14000US24005452000,"Census Tract 4520, Baltimore, MD",1039,121,836,139,203,73
14000US24005452100,"Census Tract 4521, Baltimore, MD",1260,210,1140,210,120,59
14000US24005452300,"Census Tract 4523, Baltimore, MD",1195,286,673,315,522,149
14000US24005452400,"Census Tract 4524, Baltimore, MD",1273,155,1153,150,120,61
14000US24005452500,"Census Tract 4525, Baltimore, MD",1255,117,930,138,325,132
14000US24005490100,"Census Tract 4901, Baltimore, MD",1448,112,1437,111,11,17
14000US24005490200,"Census Tract 4902, Baltimore, MD",1093,143,1059,144,34,30
14000US24005490302,"Census Tract 4903.02, Baltimore, MD",1253,214,782,208,471,112
14000US24005490303,"Census Tract 4903.03, Baltimore, MD",1155,285,247,226,908,182
14000US24005490304,"Census Tract 4903.04, Baltimore, MD",2444,334,347,134,2097,334
14000US24005490400,"Census Tract 4904, Baltimore, MD",654,86,620,90,34,23
14000US24005490500,"Census Tract 4905, Baltimore, MD",1431,158,1170,152,261,78
14000US24005490601,"Census Tract 4906.01, Baltimore, MD",841,104,762,109,79,31
14000US24005490602,"Census Tract 4906.02, Baltimore, MD",1307,160,774,165,533,111
14000US24005490603,"Census Tract 4906.03, Baltimore, MD",972,82,727,92,245,73
14000US24005490605,"Census Tract 4906.05, Baltimore, MD",191,56,0,19,191,56
14000US24005490701,"Census Tract 4907.01, Baltimore, MD",602,65,413,55,189,49
14000US24005490703,"Census Tract 4907.03, Baltimore, MD",1610,266,919,265,691,129
14000US24005490800,"Census Tract 4908, Baltimore, MD",1194,151,742,89,452,125
14000US24005490900,"Census Tract 4909, Baltimore, MD",2756,369,949,202,1807,378
14000US24005491000,"Census Tract 4910, Baltimore, MD",781,72,748,74,33,31
14000US24005491100,"Census Tract 4911, Baltimore, MD",1243,127,977,143,266,79
14000US24005491201,"Census Tract 4912.01, Baltimore, MD",873,103,623,98,250,80
14000US24005491202,"Census Tract 4912.02, Baltimore, MD",773,77,572,71,201,72
14000US24005491300,"Census Tract 4913, Baltimore, MD",1434,177,475,143,959,176
14000US24005491401,"Census Tract 4914.01, Baltimore, MD",2127,292,336,151,1791,315
14000US24005491402,"Census Tract 4914.02, Baltimore, MD",1081,141,794,135,287,152
14000US24005491500,"Census Tract 4915, Baltimore, MD",1819,241,1225,275,594,176
14000US24005491600,"Census Tract 4916, Baltimore, MD",1162,226,808,231,354,130
14000US24005491701,"Census Tract 4917.01, Baltimore, MD",1774,189,1035,155,739,147
14000US24005491900,"Census Tract 4919, Baltimore, MD",717,94,598,84,119,74
14000US24005492001,"Census Tract 4920.01, Baltimore, MD",568,56,404,80,164,75
14000US24005492002,"Census Tract 4920.02, Baltimore, MD",1539,158,1201,166,338,130
14000US24005492101,"Census Tract 4921.01, Baltimore, MD",1670,237,845,203,825,185
14000US24005492102,"Census Tract 4921.02, Baltimore, MD",878,104,745,113,133,68
14000US24005492200,"Census Tract 4922, Baltimore, MD",1927,246,1328,257,599,181
14000US24005492300,"Census Tract 4923, Baltimore, MD",1405,299,1179,302,226,104
14000US24005492401,"Census Tract 4924.01, Baltimore, MD",1417,192,941,169,476,146
14000US24005492402,"Census Tract 4924.02, Baltimore, MD",3103,269,1746,283,1357,353
14000US24005492500,"Census Tract 4925, Baltimore, MD",12,11,12,11,0,14
14000US24005492600,"Census Tract 4926, Baltimore, MD",1511,138,863,159,648,119
14000US24005492700,"Census Tract 4927, Baltimore, MD",1211,312,401,113,810,286
14000US24005980100,"Census Tract 9801, Baltimore, MD",0,14,0,14,0,14
14000US24005980200,"Census Tract 9802, Baltimore, MD",0,14,0,14,0,14
14000US24009860103,"Census Tract 8601.03, Calvert, MD",2056,208,1845,152,211,174
14000US24009860200,"Census Tract 8602, Calvert, MD",2019,280,1918,281,101,101
14000US24009860300,"Census Tract 8603, Calvert, MD",1507,181,1371,183,136,69
14000US24009860402,"Census Tract 8604.02, Calvert, MD",1403,163,1242,170,161,76
14000US24009860403,"Census Tract 8604.03, Calvert, MD",1526,193,1239,181,287,168
14000US24009860404,"Census Tract 8604.04, Calvert, MD",2734,246,2204,266,530,158
14000US24009860501,"Census Tract 8605.01, Calvert, MD",2255,197,2236,200,19,32
14000US24009860502,"Census Tract 8605.02, Calvert, MD",1213,163,1136,164,77,61
14000US24009860600,"Census Tract 8606, Calvert, MD",2173,224,1907,258,266,139
14000US24009860701,"Census Tract 8607.01, Calvert, MD",1323,205,886,220,437,121
14000US24009860702,"Census Tract 8607.02, Calvert, MD",1070,142,710,128,360,142
14000US24009860703,"Census Tract 8607.03, Calvert, MD",1592,218,1458,235,134,77
14000US24009860801,"Census Tract 8608.01, Calvert, MD",2386,299,2258,306,128,80
14000US24009860901,"Census Tract 8609.01, Calvert, MD",2219,316,1705,327,514,165
14000US24009860902,"Census Tract 8609.02, Calvert, MD",902,146,695,113,207,113
14000US24009861003,"Census Tract 8610.03, Calvert, MD",2324,231,2030,223,294,138
14000US24009861004,"Census Tract 8610.04, Calvert, MD",2452,237,2246,253,206,118
14000US24009861100,"Census Tract 8611, Calvert, MD",2331,244,2098,248,233,94
14000US24009990100,"Census Tract 9901, Calvert, MD",0,14,0,14,0,14
14000US24011955000,"Census Tract 9550, Caroline, MD",964,123,844,120,120,55
14000US24011955100,"Census Tract 9551, Caroline, MD",2139,161,1614,162,525,130
14000US24011955201,"Census Tract 9552.01, Caroline, MD",1455,113,1082,127,373,92
14000US24011955202,"Census Tract 9552.02, Caroline, MD",834,108,667,93,167,62
14000US24011955301,"Census Tract 9553.01, Caroline, MD",1401,168,1086,172,315,123
14000US24011955302,"Census Tract 9553.02, Caroline, MD",1282,167,665,133,617,150
14000US24011955400,"Census Tract 9554, Caroline, MD",755,87,660,92,95,48
14000US24011955500,"Census Tract 9555, Caroline, MD",1452,119,1149,117,303,107
14000US24011955600,"Census Tract 9556, Caroline, MD",1899,215,986,158,913,176
14000US24013501001,"Census Tract 5010.01, Carroll, MD",1844,180,1657,196,187,92
14000US24013501002,"Census Tract 5010.02, Carroll, MD",2059,266,1423,238,636,323
14000US24013502000,"Census Tract 5020, Carroll, MD",1554,153,1323,183,231,94
14000US24013503000,"Census Tract 5030, Carroll, MD",1998,346,1667,192,331,282
14000US24013504100,"Census Tract 5041, Carroll, MD",1933,166,1852,165,81,43
14000US24013504201,"Census Tract 5042.01, Carroll, MD",2088,237,1972,238,116,81
14000US24013504202,"Census Tract 5042.02, Carroll, MD",2270,229,2127,234,143,72
14000US24013505101,"Census Tract 5051.01, Carroll, MD",1323,116,1306,115,17,19
14000US24013505102,"Census Tract 5051.02, Carroll, MD",2008,212,1830,206,178,81
14000US24013505203,"Census Tract 5052.03, Carroll, MD",1261,177,1060,197,201,94
14000US24013505205,"Census Tract 5052.05, Carroll, MD",1200,103,1078,122,122,60
14000US24013505206,"Census Tract 5052.06, Carroll, MD",1189,88,1165,86,24,27
14000US24013505207,"Census Tract 5052.07, Carroll, MD",1273,78,945,105,328,76
14000US24013505208,"Census Tract 5052.08, Carroll, MD",1735,149,1128,159,607,184
14000US24013506101,"Census Tract 5061.01, Carroll, MD",1761,230,1636,229,125,64
14000US24013506102,"Census Tract 5061.02, Carroll, MD",1650,237,1517,245,133,74
14000US24013506200,"Census Tract 5062, Carroll, MD",2133,215,1808,223,325,150
14000US24013507500,"Census Tract 5075, Carroll, MD",1322,134,1201,117,121,90
14000US24013507601,"Census Tract 5076.01, Carroll, MD",1722,175,1366,167,356,108
14000US24013507602,"Census Tract 5076.02, Carroll, MD",1847,194,1309,206,538,138
14000US24013507702,"Census Tract 5077.02, Carroll, MD",1722,174,1157,178,565,146
14000US24013507703,"Census Tract 5077.03, Carroll, MD",1548,226,828,180,720,169
14000US24013507704,"Census Tract 5077.04, Carroll, MD",2325,256,1909,209,416,229
14000US24013507801,"Census Tract 5078.01, Carroll, MD",2633,330,1375,375,1258,240
14000US24013507802,"Census Tract 5078.02, Carroll, MD",1922,280,1543,179,379,229
14000US24013508103,"Census Tract 5081.03, Carroll, MD",3257,385,2791,391,466,136
14000US24013508200,"Census Tract 5082, Carroll, MD",2664,210,2286,240,378,148
14000US24013509001,"Census Tract 5090.01, Carroll, MD",1734,213,1531,188,203,116
14000US24013509002,"Census Tract 5090.02, Carroll, MD",929,119,855,113,74,54
14000US24013510000,"Census Tract 5100, Carroll, MD",466,50,363,63,103,51
14000US24013511000,"Census Tract 5110, Carroll, MD",1503,171,1403,168,100,61
14000US24013512000,"Census Tract 5120, Carroll, MD",643,94,474,90,169,42
14000US24013513001,"Census Tract 5130.01, Carroll, MD",1840,147,1703,151,137,52
14000US24013513002,"Census Tract 5130.02, Carroll, MD",1835,181,1765,192,70,62
14000US24013514100,"Census Tract 5141, Carroll, MD",1202,133,1162,126,40,43
14000US24013514201,"Census Tract 5142.01, Carroll, MD",1881,161,1676,156,205,125
14000US24013514202,"Census Tract 5142.02, Carroll, MD",1213,92,1046,106,167,72
14000US24015030100,"Census Tract 301, Cecil, MD",2224,273,1921,291,303,102
14000US24015030200,"Census Tract 302, Cecil, MD",2105,199,1802,227,303,112
14000US24015030400,"Census Tract 304, Cecil, MD",2036,345,671,308,1365,239
14000US24015030501,"Census Tract 305.01, Cecil, MD",1430,172,1305,169,125,53
14000US24015030503,"Census Tract 305.03, Cecil, MD",2250,231,1194,227,1056,238
14000US24015030505,"Census Tract 305.05, Cecil, MD",1383,206,1082,214,301,108
14000US24015030507,"Census Tract 305.07, Cecil, MD",1657,176,644,133,1013,166
14000US24015030508,"Census Tract 305.08, Cecil, MD",1708,239,1169,190,539,277
14000US24015030601,"Census Tract 306.01, Cecil, MD",1525,212,1409,206,116,76
14000US24015030602,"Census Tract 306.02, Cecil, MD",2156,208,1405,201,751,198
14000US24015030700,"Census Tract 307, Cecil, MD",1809,190,1724,192,85,48
14000US24015030903,"Census Tract 309.03, Cecil, MD",2256,299,1416,254,840,262
14000US24015030904,"Census Tract 309.04, Cecil, MD",2869,493,2743,482,126,81
14000US24015030905,"Census Tract 309.05, Cecil, MD",975,126,845,119,130,75
14000US24015030907,"Census Tract 309.07, Cecil, MD",2043,228,1472,264,571,188
14000US24015030908,"Census Tract 309.08, Cecil, MD",2208,214,1733,208,475,182
14000US24015031201,"Census Tract 312.01, Cecil, MD",2248,225,1953,211,295,116
14000US24015031202,"Census Tract 312.02, Cecil, MD",2114,254,1503,199,611,186
14000US24015031301,"Census Tract 313.01, Cecil, MD",1187,120,1106,114,81,46
14000US24015031302,"Census Tract 313.02, Cecil, MD",2352,223,1761,206,591,163
14000US24015031400,"Census Tract 314, Cecil, MD",1637,212,1394,210,243,127
14000US24017850101,"Census Tract 8501.01, Charles, MD",2529,228,2426,238,103,58
14000US24017850102,"Census Tract 8501.02, Charles, MD",855,92,814,88,41,29
14000US24017850201,"Census Tract 8502.01, Charles, MD",340,68,222,70,118,43
14000US24017850202,"Census Tract 8502.02, Charles, MD",1982,301,1396,241,586,257
14000US24017850300,"Census Tract 8503, Charles, MD",740,117,674,109,66,41
14000US24017850400,"Census Tract 8504, Charles, MD",1230,145,1066,124,164,84
14000US24017850500,"Census Tract 8505, Charles, MD",969,122,906,119,63,42
14000US24017850600,"Census Tract 8506, Charles, MD",1627,179,1524,180,103,89
14000US24017850706,"Census Tract 8507.06, Charles, MD",1963,185,1882,197,81,60
14000US24017850708,"Census Tract 8507.08, Charles, MD",1906,254,1670,252,236,122
14000US24017850709,"Census Tract 8507.09, Charles, MD",2924,300,1788,312,1136,306
14000US24017850710,"Census Tract 8507.10, Charles, MD",2117,296,1798,330,319,111
14000US24017850711,"Census Tract 8507.11, Charles, MD",1899,149,1483,172,416,163
14000US24017850712,"Census Tract 8507.12, Charles, MD",1820,134,1728,140,92,65
14000US24017850713,"Census Tract 8507.13, Charles, MD",3057,272,2851,302,206,144
14000US24017850801,"Census Tract 8508.01, Charles, MD",1589,204,1460,201,129,71
14000US24017850802,"Census Tract 8508.02, Charles, MD",2333,342,1794,243,539,302
14000US24017850901,"Census Tract 8509.01, Charles, MD",2270,227,1076,236,1194,291
14000US24017850902,"Census Tract 8509.02, Charles, MD",1689,194,1544,208,145,69
14000US24017850904,"Census Tract 8509.04, Charles, MD",4762,344,3930,407,832,278
14000US24017850905,"Census Tract 8509.05, Charles, MD",1409,96,1248,141,161,88
14000US24017850906,"Census Tract 8509.06, Charles, MD",2187,210,1036,189,1151,192
14000US24017851001,"Census Tract 8510.01, Charles, MD",1342,168,1217,173,125,69
14000US24017851003,"Census Tract 8510.03, Charles, MD",1529,190,1417,213,112,79
14000US24017851004,"Census Tract 8510.04, Charles, MD",2260,260,1572,265,688,207
14000US24017851100,"Census Tract 8511, Charles, MD",988,142,857,134,131,96
14000US24017851200,"Census Tract 8512, Charles, MD",1838,233,1504,244,334,115
14000US24017851301,"Census Tract 8513.01, Charles, MD",1568,165,1480,169,88,47
14000US24017851302,"Census Tract 8513.02, Charles, MD",1439,116,1290,83,149,110
14000US24017851401,"Census Tract 8514.01, Charles, MD",1004,152,969,150,35,36
14000US24017851402,"Census Tract 8514.02, Charles, MD",1293,191,1199,198,94,99
14000US24017851403,"Census Tract 8514.03, Charles, MD",641,123,559,141,82,55
14000US24017851501,"Census Tract 8515.01, Charles, MD",1710,192,1061,180,649,189
14000US24017851502,"Census Tract 8515.02, Charles, MD",2390,270,1459,173,931,267
14000US24017990000,"Census Tract 9900, Charles, MD",0,14,0,14,0,14
14000US24019970100,"Census Tract 9701, Dorchester, MD",1191,145,1000,152,191,92
14000US24019970200,"Census Tract 9702, Dorchester, MD",2093,230,1788,222,305,93
14000US24019970300,"Census Tract 9703, Dorchester, MD",1716,154,1420,135,296,93
14000US24019970400,"Census Tract 9704, Dorchester, MD",1562,204,884,175,678,166
14000US24019970500,"Census Tract 9705, Dorchester, MD",1609,206,380,130,1229,208
14000US24019970600,"Census Tract 9706, Dorchester, MD",2091,277,885,204,1206,273
14000US24019970702,"Census Tract 9707.02, Dorchester, MD",1776,222,1298,185,478,197
14000US24019970804,"Census Tract 9708.04, Dorchester, MD",777,93,707,92,70,39
14000US24019970900,"Census Tract 9709, Dorchester, MD",509,85,475,91,34,24
14000US24019990000,"Census Tract 9900, Dorchester, MD",0,14,0,14,0,14
14000US24021740200,"Census Tract 7402, Frederick, MD",1926,168,1718,183,208,71
14000US24021750100,"Census Tract 7501, Frederick, MD",904,108,455,101,449,104
14000US24021750200,"Census Tract 7502, Frederick, MD",1122,169,498,125,624,151
14000US24021750300,"Census Tract 7503, Frederick, MD",914,123,372,105,542,108
14000US24021750504,"Census Tract 7505.04, Frederick, MD",2191,292,1082,199,1109,342
14000US24021750505,"Census Tract 7505.05, Frederick, MD",2759,221,1402,257,1357,183
14000US24021750506,"Census Tract 7505.06, Frederick, MD",1501,213,1376,212,125,110
14000US24021750507,"Census Tract 7505.07, Frederick, MD",1592,279,574,188,1018,269
14000US24021750508,"Census Tract 7505.08, Frederick, MD",1792,241,392,142,1400,264
14000US24021750600,"Census Tract 7506, Frederick, MD",1039,125,896,114,143,56
14000US24021750701,"Census Tract 7507.01, Frederick, MD",1891,152,1552,172,339,121
14000US24021750702,"Census Tract 7507.02, Frederick, MD",1929,236,828,220,1101,225
14000US24021750801,"Census Tract 7508.01, Frederick, MD",1756,380,505,128,1251,357
14000US24021750802,"Census Tract 7508.02, Frederick, MD",2768,254,2223,296,545,144
14000US24021750804,"Census Tract 7508.04, Frederick, MD",1086,254,953,240,133,78
14000US24021750805,"Census Tract 7508.05, Frederick, MD",1724,196,1295,174,429,180
14000US24021751001,"Census Tract 7510.01, Frederick, MD",734,106,519,77,215,74
14000US24021751002,"Census Tract 7510.02, Frederick, MD",2367,407,1305,291,1062,359
14000US24021751003,"Census Tract 7510.03, Frederick, MD",2198,270,1236,252,962,231
14000US24021751004,"Census Tract 7510.04, Frederick, MD",2181,165,1579,167,602,123
14000US24021751201,"Census Tract 7512.01, Frederick, MD",2032,250,1708,261,324,99
14000US24021751202,"Census Tract 7512.02, Frederick, MD",2822,283,2281,319,541,157
14000US24021751203,"Census Tract 7512.03, Frederick, MD",756,73,714,71,42,30
14000US24021751301,"Census Tract 7513.01, Frederick, MD",1999,191,1395,147,604,140
14000US24021751302,"Census Tract 7513.02, Frederick, MD",1265,224,1183,223,82,44
14000US24021751600,"Census Tract 7516, Frederick, MD",1066,110,969,122,97,63
14000US24021751701,"Census Tract 7517.01, Frederick, MD",910,163,846,166,64,44
14000US24021751702,"Census Tract 7517.02, Frederick, MD",1402,162,1246,195,156,84
14000US24021751801,"Census Tract 7518.01, Frederick, MD",1786,121,1657,133,129,68
14000US24021751802,"Census Tract 7518.02, Frederick, MD",1348,173,1220,173,128,80
14000US24021751902,"Census Tract 7519.02, Frederick, MD",2101,191,1837,176,264,124
14000US24021751903,"Census Tract 7519.03, Frederick, MD",2352,285,2267,288,85,60
14000US24021751904,"Census Tract 7519.04, Frederick, MD",1549,127,1472,138,77,54
14000US24021751905,"Census Tract 7519.05, Frederick, MD",1446,198,1284,196,162,77
14000US24021751906,"Census Tract 7519.06, Frederick, MD",840,89,775,107,65,61
14000US24021752001,"Census Tract 7520.01, Frederick, MD",1701,154,1607,182,94,55
14000US24021752101,"Census Tract 7521.01, Frederick, MD",1163,91,1118,93,45,47
14000US24021752102,"Census Tract 7521.02, Frederick, MD",2268,164,2180,154,88,86
14000US24021752201,"Census Tract 7522.01, Frederick, MD",838,126,753,125,85,37
14000US24021752202,"Census Tract 7522.02, Frederick, MD",1234,92,978,118,256,95
14000US24021752205,"Census Tract 7522.05, Frederick, MD",1041,181,961,196,80,64
14000US24021752206,"Census Tract 7522.06, Frederick, MD",2178,185,1626,201,552,188
14000US24021752301,"Census Tract 7523.01, Frederick, MD",2575,327,2085,337,490,135
14000US24021752302,"Census Tract 7523.02, Frederick, MD",1480,180,1235,177,245,78
14000US24021752303,"Census Tract 7523.03, Frederick, MD",1148,178,1071,174,77,48
14000US24021752501,"Census Tract 7525.01, Frederick, MD",1907,199,1614,183,293,93
14000US24021752502,"Census Tract 7525.02, Frederick, MD",1001,123,906,118,95,54
14000US24021752601,"Census Tract 7526.01, Frederick, MD",1581,120,1297,118,284,113
14000US24021752602,"Census Tract 7526.02, Frederick, MD",862,88,778,73,84,75
14000US24021752603,"Census Tract 7526.03, Frederick, MD",1456,189,1366,197,90,61
14000US24021752801,"Census Tract 7528.01, Frederick, MD",823,57,716,65,107,57
14000US24021752802,"Census Tract 7528.02, Frederick, MD",1263,130,1168,144,95,51
14000US24021752900,"Census Tract 7529, Frederick, MD",1234,195,944,111,290,189
14000US24021753001,"Census Tract 7530.01, Frederick, MD",2101,224,1561,236,540,137
14000US24021753002,"Census Tract 7530.02, Frederick, MD",981,97,810,111,171,70
14000US24021765100,"Census Tract 7651, Frederick, MD",1950,209,1293,230,657,169
14000US24021766800,"Census Tract 7668, Frederick, MD",1418,153,1062,147,356,129
14000US24021767500,"Census Tract 7675, Frederick, MD",1040,188,947,174,93,62
14000US24021767600,"Census Tract 7676, Frederick, MD",1186,90,950,102,236,73
14000US24021770700,"Census Tract 7707, Frederick, MD",1374,142,1229,146,145,83
14000US24021772200,"Census Tract 7722, Frederick, MD",832,139,350,80,482,139
14000US24021773500,"Census Tract 7735, Frederick, MD",1623,174,1314,178,309,107
14000US24021775302,"Census Tract 7753.02, Frederick, MD",2088,160,1953,160,135,75
14000US24021775400,"Census Tract 7754, Frederick, MD",1625,187,1321,180,304,102
14000US24021775600,"Census Tract 7756, Frederick, MD",1788,145,1622,139,166,74
14000US24023000100,"Census Tract 1, Garrett, MD",1814,177,1494,175,320,89
14000US24023000200,"Census Tract 2, Garrett, MD",1607,168,1268,155,339,114
14000US24023000300,"Census Tract 3, Garrett, MD",1038,153,976,147,62,45
14000US24023000400,"Census Tract 4, Garrett, MD",1147,156,959,153,188,63
14000US24023000501,"Census Tract 5.01, Garrett, MD",817,146,705,126,112,70
14000US24023000502,"Census Tract 5.02, Garrett, MD",1285,219,998,193,287,125
14000US24023000601,"Census Tract 6.01, Garrett, MD",1901,229,1340,170,561,169
14000US24023000602,"Census Tract 6.02, Garrett, MD",645,90,637,92,8,13
14000US24023000700,"Census Tract 7, Garrett, MD",2311,193,1803,197,508,118
14000US24025301102,"Census Tract 3011.02, Harford, MD",1383,118,1304,147,79,57
14000US24025301105,"Census Tract 3011.05, Harford, MD",1393,134,1325,137,68,41
14000US24025301106,"Census Tract 3011.06, Harford, MD",1535,131,1322,139,213,102
14000US24025301107,"Census Tract 3011.07, Harford, MD",1801,159,551,126,1250,185
14000US24025301108,"Census Tract 3011.08, Harford, MD",1431,258,1363,261,68,84
14000US24025301201,"Census Tract 3012.01, Harford, MD",746,91,679,94,67,43
14000US24025301202,"Census Tract 3012.02, Harford, MD",3081,354,2721,389,360,128
14000US24025301204,"Census Tract 3012.04, Harford, MD",1557,126,1099,125,458,131
14000US24025301205,"Census Tract 3012.05, Harford, MD",1941,270,1745,279,196,76
14000US24025301301,"Census Tract 3013.01, Harford, MD",1929,256,1659,184,270,230
14000US24025301302,"Census Tract 3013.02, Harford, MD",3062,337,1596,305,1466,353
14000US24025301401,"Census Tract 3014.01, Harford, MD",3118,329,2222,296,896,292
14000US24025301402,"Census Tract 3014.02, Harford, MD",1024,126,898,139,126,72
14000US24025301601,"Census Tract 3016.01, Harford, MD",2517,344,1573,353,944,302
14000US24025301602,"Census Tract 3016.02, Harford, MD",2937,250,2653,302,284,152
14000US24025301703,"Census Tract 3017.03, Harford, MD",1996,257,1761,275,235,114
14000US24025301704,"Census Tract 3017.04, Harford, MD",1388,133,886,151,502,133
14000US24025301705,"Census Tract 3017.05, Harford, MD",1031,78,750,105,281,75
14000US24025301706,"Census Tract 3017.06, Harford, MD",1180,106,876,130,304,108
14000US24025301707,"Census Tract 3017.07, Harford, MD",1693,307,1542,328,151,102
14000US24025302100,"Census Tract 3021, Harford, MD",788,114,743,110,45,29
14000US24025302200,"Census Tract 3022, Harford, MD",1335,159,1074,155,261,105
14000US24025302400,"Census Tract 3024, Harford, MD",1774,164,1065,145,709,169
14000US24025302801,"Census Tract 3028.01, Harford, MD",1507,165,1199,159,308,95
14000US24025302802,"Census Tract 3028.02, Harford, MD",2038,157,1105,217,933,164
14000US24025302901,"Census Tract 3029.01, Harford, MD",984,167,473,125,511,152
14000US24025302902,"Census Tract 3029.02, Harford, MD",2077,288,1554,249,523,204
14000US24025303101,"Census Tract 3031.01, Harford, MD",2173,236,1982,250,191,94
14000US24025303102,"Census Tract 3031.02, Harford, MD",842,53,811,60,31,30
14000US24025303201,"Census Tract 3032.01, Harford, MD",1983,228,1883,230,100,74
14000US24025303203,"Census Tract 3032.03, Harford, MD",1249,105,1066,106,183,93
14000US24025303204,"Census Tract 3032.04, Harford, MD",1835,144,1457,150,378,94
14000US24025303205,"Census Tract 3032.05, Harford, MD",598,144,589,145,9,11
14000US24025303206,"Census Tract 3032.06, Harford, MD",1230,98,1184,108,46,34
14000US24025303300,"Census Tract 3033, Harford, MD",2448,245,2235,250,213,78
14000US24025303400,"Census Tract 3034, Harford, MD",1816,155,1700,168,116,64
14000US24025303501,"Census Tract 3035.01, Harford, MD",2854,220,2149,258,705,133
14000US24025303502,"Census Tract 3035.02, Harford, MD",1216,87,1165,93,51,30
14000US24025303602,"Census Tract 3036.02, Harford, MD",1378,186,1291,191,87,41
14000US24025303603,"Census Tract 3036.03, Harford, MD",2196,161,2039,171,157,124
14000US24025303605,"Census Tract 3036.05, Harford, MD",2745,346,1966,326,779,220
14000US24025303606,"Census Tract 3036.06, Harford, MD",1071,136,1054,140,17,18
14000US24025303700,"Census Tract 3037, Harford, MD",1612,173,1376,167,236,118
14000US24025303801,"Census Tract 3038.01, Harford, MD",1457,178,1027,131,430,150
14000US24025303802,"Census Tract 3038.02, Harford, MD",811,92,665,95,146,51
14000US24025303803,"Census Tract 3038.03, Harford, MD",2213,176,1478,192,735,185
14000US24025303900,"Census Tract 3039, Harford, MD",948,117,607,115,341,76
14000US24025304101,"Census Tract 3041.01, Harford, MD",1739,190,1558,167,181,116
14000US24025304102,"Census Tract 3041.02, Harford, MD",1373,126,1292,132,81,48
14000US24025304201,"Census Tract 3042.01, Harford, MD",2494,275,2237,272,257,127
14000US24025304202,"Census Tract 3042.02, Harford, MD",2204,178,2094,182,110,73
14000US24025305100,"Census Tract 3051, Harford, MD",2717,282,2419,265,298,161
14000US24025305200,"Census Tract 3052, Harford, MD",1087,142,1008,142,79,59
14000US24025305300,"Census Tract 3053, Harford, MD",787,73,616,67,171,85
14000US24025306100,"Census Tract 3061, Harford, MD",2028,222,918,193,1110,204
14000US24025306200,"Census Tract 3062, Harford, MD",1037,147,521,124,516,138
14000US24025306300,"Census Tract 3063, Harford, MD",1179,161,1122,165,57,43
14000US24025306400,"Census Tract 3064, Harford, MD",2816,231,2671,244,145,101
14000US24025306500,"Census Tract 3065, Harford, MD",889,139,9,14,880,141
14000US24027601103,"Census Tract 6011.03, Howard, MD",2080,162,1995,173,85,67
14000US24027601104,"Census Tract 6011.04, Howard, MD",2110,243,1978,186,132,155
14000US24027601105,"Census Tract 6011.05, Howard, MD",2221,214,1673,232,548,159
14000US24027601107,"Census Tract 6011.07, Howard, MD",1952,207,903,175,1049,150
14000US24027601108,"Census Tract 6011.08, Howard, MD",1463,126,1110,133,353,90
14000US24027601203,"Census Tract 6012.03, Howard, MD",3091,274,1566,253,1525,341
14000US24027601204,"Census Tract 6012.04, Howard, MD",3046,370,1881,346,1165,231
14000US24027601205,"Census Tract 6012.05, Howard, MD",1876,116,1107,144,769,132
14000US24027601206,"Census Tract 6012.06, Howard, MD",1304,122,1150,128,154,94
14000US24027602100,"Census Tract 6021, Howard, MD",2850,284,2800,283,50,51
14000US24027602201,"Census Tract 6022.01, Howard, MD",1233,146,886,87,347,125
14000US24027602202,"Census Tract 6022.02, Howard, MD",1935,165,1467,168,468,107
14000US24027602302,"Census Tract 6023.02, Howard, MD",2139,212,1485,208,654,186
14000US24027602303,"Census Tract 6023.03, Howard, MD",1482,203,1426,201,56,64
14000US24027602304,"Census Tract 6023.04, Howard, MD",1584,141,1545,143,39,31
14000US24027602305,"Census Tract 6023.05, Howard, MD",1453,161,1148,131,305,94
14000US24027602306,"Census Tract 6023.06, Howard, MD",2353,352,1824,348,529,186
14000US24027602600,"Census Tract 6026, Howard, MD",2929,351,1084,195,1845,335
14000US24027602700,"Census Tract 6027, Howard, MD",2006,164,1954,167,52,40
14000US24027602800,"Census Tract 6028, Howard, MD",2202,221,1625,242,577,200
14000US24027602900,"Census Tract 6029, Howard, MD",2181,285,462,139,1719,298
14000US24027603001,"Census Tract 6030.01, Howard, MD",2297,241,1906,141,391,216
14000US24027603003,"Census Tract 6030.03, Howard, MD",1474,192,1392,198,82,51
14000US24027603004,"Census Tract 6030.04, Howard, MD",2731,300,2335,216,396,252
14000US24027604001,"Census Tract 6040.01, Howard, MD",2164,219,1921,206,243,133
14000US24027604003,"Census Tract 6040.03, Howard, MD",1348,125,1307,123,41,39
14000US24027604004,"Census Tract 6040.04, Howard, MD",1448,211,1398,206,50,42
14000US24027605103,"Census Tract 6051.03, Howard, MD",1806,277,1760,261,46,49
14000US24027605104,"Census Tract 6051.04, Howard, MD",1808,194,1690,195,118,57
14000US24027605105,"Census Tract 6051.05, Howard, MD",2764,276,2387,283,377,127
